partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",78,72,71
"JUSTICIALISTA (2)",270,271,428
"UNIÓN CÍVICA RADICAL (3)",531,519,518
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,54,54
"DEMÓCRATA CRISTIANO (5)",37,37,37
"DE LA CONCERTACIÓN - FORJA (7)",53,50,50
"FEDERAL (8)",38,39,-
"DEMÓCRATA PROGRESISTA (9)",33,28,29
"RENOVADOR FEDERAL (10)",44,44,44
"LADRILLEROS UNIDOS (11)",44,44,44
"COMUNISTA (12)",27,27,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",26,26,26
"ACCIÓN POR CORRIENTES (14)",32,30,30
"UNIDOS POR CORRIENTES (15)",20,19,19
"LABORISTA AUTÓNOMO (17)",12,12,12
"ELI - ENCUENTRO LIBERAL (18)",79,79,79
"CAMBIO POPULAR (19)",20,20,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-
"CONVOCATORIA POPULAR (21)",17,17,-
"FE (23)",11,11,11
"NUESTRA CAUSA (24)",17,17,17
"UNION POPULAR (25)",53,51,51
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,28,28
"ENCUENTRO CORRELIGIONARIO (27)",40,37,37
"CAMBIO AUSTERIDAD Y PROGRESO (28)",95,95,95
"DEL TRABAJO Y DEL PUEBLO (29)",11,11,11
"CIUDADANOS A GOBERNAR (30)",32,32,32
"CONSERVADOR POPULAR (31)",16,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",30,29,29
"NUEVO PAIS (33)",10,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",24,24,24
"TERCERA POSICIÓN (35)",14,14,14
"UNIÓN CORRENTINA (37)",17,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,13,13
"UNIÓN PARA EL DESARROLLO (42)",9,8,8
"NORTE GRANDE (43)",26,25,25
"ACCIÓN POR LA REPÚBLICA (44)",30,29,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-
"VAMOS CORRIENTES (46)",67,65,65
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",34,30,30
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",24,25,25
"LIBERAL (51)",23,23,23
"AUTONOMISTA (52)",43,41,41
"DE LA VICTORIA (54)",38,39,39
"PROYECTO CORRIENTES (57)",18,17,-
"PRO - PROPUESTA REPUBLICANA (64)",90,80,82
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",22,23,23
"NUEVO (90)",16,16,17
"POPULAR CORRENTINO (169)",71,69,69
"CRECER CON TODOS (170)",18,17,16
"UNIÓN CELESTE Y BLANCO (173)",24,24,-
"COMPROMISO CORRENTINO (175)",18,17,-
"KOLINA (192)",23,23,23
"Votos en Blanco",27,87,83
"Votos Nulos",45,41,41
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
