partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",39,38,38
"JUSTICIALISTA (2)",132,132,203
"UNIÓN CÍVICA RADICAL (3)",318,306,305
"MOVIMIENTO SIEMPRE CORRIENTES (4)",23,21,21
"DEMÓCRATA CRISTIANO (5)",33,32,32
"DE LA CONCERTACIÓN - FORJA (7)",32,29,29
"FEDERAL (8)",13,13,-
"DEMÓCRATA PROGRESISTA (9)",9,8,8
"RENOVADOR FEDERAL (10)",30,30,30
"LADRILLEROS UNIDOS (11)",11,10,10
"COMUNISTA (12)",5,5,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,6,6
"ACCIÓN POR CORRIENTES (14)",13,13,13
"UNIDOS POR CORRIENTES (15)",43,44,44
"LABORISTA AUTÓNOMO (17)",7,7,7
"ELI - ENCUENTRO LIBERAL (18)",54,56,55
"CAMBIO POPULAR (19)",5,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-
"CONVOCATORIA POPULAR (21)",5,5,-
"FE (23)",3,3,3
"NUESTRA CAUSA (24)",5,5,5
"UNION POPULAR (25)",5,5,6
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",8,8,9
"ENCUENTRO CORRELIGIONARIO (27)",24,24,24
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",15,15,15
"CONSERVADOR POPULAR (31)",17,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,19,19
"NUEVO PAIS (33)",9,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,13,13
"TERCERA POSICIÓN (35)",9,9,9
"UNIÓN CORRENTINA (37)",12,10,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18
"UNIÓN PARA EL DESARROLLO (42)",8,8,8
"NORTE GRANDE (43)",13,12,11
"ACCIÓN POR LA REPÚBLICA (44)",17,17,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",8,8,-
"VAMOS CORRIENTES (46)",21,20,20
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",6,6,-
"SOCIALISTA (50)",13,12,13
"LIBERAL (51)",73,71,73
"AUTONOMISTA (52)",54,51,51
"DE LA VICTORIA (54)",16,16,16
"PROYECTO CORRIENTES (57)",6,7,-
"PRO - PROPUESTA REPUBLICANA (64)",39,39,39
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3
"NUEVO (90)",14,13,14
"POPULAR CORRENTINO (169)",50,46,46
"CRECER CON TODOS (170)",11,11,11
"UNIÓN CELESTE Y BLANCO (173)",11,12,-
"COMPROMISO CORRENTINO (175)",5,5,-
"KOLINA (192)",16,16,6
"Votos en Blanco",22,67,76
"Votos Nulos",29,19,19
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
