partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",46,44,44,45,44
"JUSTICIALISTA (2)",37,33,40,36,47
"UNIÓN CÍVICA RADICAL (3)",148,146,142,148,147
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,9,10,11
"DEMÓCRATA CRISTIANO (5)",6,6,6,7,6
"DE LA CONCERTACIÓN - FORJA (7)",23,22,22,23,20
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",11,11,11,11,13
"RENOVADOR FEDERAL (10)",12,10,10,20,7
"LADRILLEROS UNIDOS (11)",16,16,16,17,15
"COMUNISTA (12)",0,0,-,0,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,1,1
"ACCIÓN POR CORRIENTES (14)",13,12,12,12,10
"UNIDOS POR CORRIENTES (15)",4,4,4,4,4
"LABORISTA AUTÓNOMO (17)",5,5,5,5,5
"ELI - ENCUENTRO LIBERAL (18)",13,13,13,13,9
"CAMBIO POPULAR (19)",2,2,2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,1,0
"FE (23)",2,2,2,2,3
"NUESTRA CAUSA (24)",1,1,1,1,2
"UNION POPULAR (25)",4,4,4,4,4
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",8,8,8,6,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",124,121,122,116,110
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,4,4
"CIUDADANOS A GOBERNAR (30)",14,13,13,14,15
"CONSERVADOR POPULAR (31)",5,5,5,5,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,4,2
"NUEVO PAIS (33)",2,2,-,5,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,7,7,7,7
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",1,1,1,1,1
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9,-,-
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,2,2
"NORTE GRANDE (43)",398,393,393,401,390
"ACCIÓN POR LA REPÚBLICA (44)",10,10,10,11,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",53,53,53,53,52
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,9,8,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",5,5,-,-,-
"SOCIALISTA (50)",5,5,5,5,5
"LIBERAL (51)",330,325,325,347,325
"AUTONOMISTA (52)",19,17,18,12,12
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",0,0,-,1,0
"PRO - PROPUESTA REPUBLICANA (64)",29,29,29,30,30
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0
"NUEVO (90)",149,148,148,154,157
"POPULAR CORRENTINO (169)",93,92,92,93,92
"CRECER CON TODOS (170)",1,1,1,0,0
"UNIÓN CELESTE Y BLANCO (173)",1,1,-,1,1
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",3,3,3,3,3
"Votos en Blanco",32,63,68,27,77
"Votos Nulos",5,4,4,4,5
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
