partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,7,7,9,8
"JUSTICIALISTA (2)",32,36,92,55,43
"UNIÓN CÍVICA RADICAL (3)",114,101,102,86,129
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,2,3,3
"DEMÓCRATA CRISTIANO (5)",6,6,6,7,7
"DE LA CONCERTACIÓN - FORJA (7)",3,3,4,3,2
"FEDERAL (8)",7,8,-,11,10
"DEMÓCRATA PROGRESISTA (9)",2,1,1,1,2
"RENOVADOR FEDERAL (10)",16,20,20,21,18
"LADRILLEROS UNIDOS (11)",8,8,8,8,9
"COMUNISTA (12)",2,3,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",3,3,3,3,3
"UNIDOS POR CORRIENTES (15)",19,17,17,21,22
"LABORISTA AUTÓNOMO (17)",13,13,12,12,12
"ELI - ENCUENTRO LIBERAL (18)",97,97,97,111,102
"CAMBIO POPULAR (19)",5,6,6,8,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,6,6
"CONVOCATORIA POPULAR (21)",1,1,-,1,1
"FE (23)",4,4,4,5,5
"NUESTRA CAUSA (24)",6,7,7,8,7
"UNION POPULAR (25)",24,21,21,24,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9,11,10
"ENCUENTRO CORRELIGIONARIO (27)",23,22,22,25,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,17,17,19,18
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3,3,3
"CIUDADANOS A GOBERNAR (30)",10,10,10,11,11
"CONSERVADOR POPULAR (31)",13,12,12,12,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",6,6,6,6,6
"NUEVO PAIS (33)",2,2,-,31,30
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,10,10,11,10
"TERCERA POSICIÓN (35)",7,7,7,8,8
"UNIÓN CORRENTINA (37)",2,2,1,3,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,13,12,12,14
"UNIÓN PARA EL DESARROLLO (42)",4,4,3,4,4
"NORTE GRANDE (43)",2,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",4,4,4,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,7,7
"VAMOS CORRIENTES (46)",24,22,22,20,21
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,2,2,2,5
"PARTIDO AGRARIO Y SOCIAL (49)",10,10,-,-,-
"SOCIALISTA (50)",1,1,1,2,2
"LIBERAL (51)",27,25,24,23,19
"AUTONOMISTA (52)",19,18,18,17,15
"DE LA VICTORIA (54)",1,1,1,1,2
"PROYECTO CORRIENTES (57)",11,10,-,15,13
"PRO - PROPUESTA REPUBLICANA (64)",12,11,11,11,11
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,10,9
"NUEVO (90)",61,58,57,57,60
"POPULAR CORRENTINO (169)",164,157,157,164,157
"CRECER CON TODOS (170)",9,9,9,11,11
"UNIÓN CELESTE Y BLANCO (173)",17,17,-,-,-
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",3,3,3,4,3
"Votos en Blanco",53,86,100,26,26
"Votos Nulos",7,5,5,6,6
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
