partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",64,61,61
"JUSTICIALISTA (2)",199,198,291
"UNIÓN CÍVICA RADICAL (3)",414,391,392
"MOVIMIENTO SIEMPRE CORRIENTES (4)",30,28,28
"DEMÓCRATA CRISTIANO (5)",17,18,18
"DE LA CONCERTACIÓN - FORJA (7)",38,37,37
"FEDERAL (8)",17,17,-
"DEMÓCRATA PROGRESISTA (9)",22,22,22
"RENOVADOR FEDERAL (10)",29,29,30
"LADRILLEROS UNIDOS (11)",22,21,20
"COMUNISTA (12)",4,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,9,9
"ACCIÓN POR CORRIENTES (14)",10,8,8
"UNIDOS POR CORRIENTES (15)",13,12,13
"LABORISTA AUTÓNOMO (17)",10,10,10
"ELI - ENCUENTRO LIBERAL (18)",63,63,63
"CAMBIO POPULAR (19)",10,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,8,-
"CONVOCATORIA POPULAR (21)",8,8,-
"FE (23)",3,2,2
"NUESTRA CAUSA (24)",6,7,7
"UNION POPULAR (25)",25,24,24
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,12
"ENCUENTRO CORRELIGIONARIO (27)",7,7,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",62,62,63
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5
"CIUDADANOS A GOBERNAR (30)",18,16,16
"CONSERVADOR POPULAR (31)",5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,32,32
"NUEVO PAIS (33)",17,17,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,13
"TERCERA POSICIÓN (35)",17,14,15
"UNIÓN CORRENTINA (37)",8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,15
"UNIÓN PARA EL DESARROLLO (42)",16,15,14
"NORTE GRANDE (43)",28,28,28
"ACCIÓN POR LA REPÚBLICA (44)",10,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",8,6,-
"VAMOS CORRIENTES (46)",29,28,28
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",10,10,10
"LIBERAL (51)",24,24,21
"AUTONOMISTA (52)",45,42,42
"DE LA VICTORIA (54)",30,30,30
"PROYECTO CORRIENTES (57)",10,10,-
"PRO - PROPUESTA REPUBLICANA (64)",79,74,74
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",25,24,24
"NUEVO (90)",20,18,18
"POPULAR CORRENTINO (169)",39,38,38
"CRECER CON TODOS (170)",25,25,25
"UNIÓN CELESTE Y BLANCO (173)",17,17,-
"COMPROMISO CORRENTINO (175)",22,12,-
"KOLINA (192)",27,27,27
"Votos en Blanco",19,93,99
"Votos Nulos",33,24,24
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
