partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",54,50,50,52,65
"JUSTICIALISTA (2)",70,68,132,43,49
"UNIÓN CÍVICA RADICAL (3)",333,314,313,334,287
"MOVIMIENTO SIEMPRE CORRIENTES (4)",27,27,27,28,27
"DEMÓCRATA CRISTIANO (5)",5,5,4,4,5
"DE LA CONCERTACIÓN - FORJA (7)",10,10,10,10,10
"FEDERAL (8)",8,6,-,3,4
"DEMÓCRATA PROGRESISTA (9)",29,28,28,30,25
"RENOVADOR FEDERAL (10)",7,6,6,4,4
"LADRILLEROS UNIDOS (11)",9,9,9,10,9
"COMUNISTA (12)",5,4,-,3,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,2,2,2
"ACCIÓN POR CORRIENTES (14)",114,110,111,130,116
"UNIDOS POR CORRIENTES (15)",29,28,26,31,34
"LABORISTA AUTÓNOMO (17)",52,52,50,48,49
"ELI - ENCUENTRO LIBERAL (18)",99,96,95,94,116
"CAMBIO POPULAR (19)",2,2,2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,1,1
"CONVOCATORIA POPULAR (21)",9,9,-,8,7
"FE (23)",2,2,3,3,3
"NUESTRA CAUSA (24)",5,5,5,4,3
"UNION POPULAR (25)",192,174,187,210,179
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5,4,4
"ENCUENTRO CORRELIGIONARIO (27)",39,49,36,40,39
"CAMBIO AUSTERIDAD Y PROGRESO (28)",27,28,29,24,25
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,3,4,4
"CIUDADANOS A GOBERNAR (30)",73,69,70,74,107
"CONSERVADOR POPULAR (31)",7,7,7,7,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",44,40,44,40,39
"NUEVO PAIS (33)",19,18,-,17,26
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",45,44,44,47,56
"TERCERA POSICIÓN (35)",17,4,4,4,4
"UNIÓN CORRENTINA (37)",32,31,31,44,49
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",38,37,36,41,37
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,7,8
"NORTE GRANDE (43)",5,5,6,-,-
"ACCIÓN POR LA REPÚBLICA (44)",15,13,13,15,14
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,2,2
"VAMOS CORRIENTES (46)",24,24,24,28,26
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",129,124,124,138,129
"PARTIDO AGRARIO Y SOCIAL (49)",3,2,-,1,1
"SOCIALISTA (50)",21,20,20,18,20
"LIBERAL (51)",52,53,56,53,50
"AUTONOMISTA (52)",76,72,70,77,74
"DE LA VICTORIA (54)",3,3,3,3,2
"PROYECTO CORRIENTES (57)",13,11,-,9,9
"PRO - PROPUESTA REPUBLICANA (64)",45,45,44,41,41
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,10,10,8,7
"NUEVO (90)",125,126,126,135,166
"POPULAR CORRENTINO (169)",60,59,56,-,-
"CRECER CON TODOS (170)",21,21,21,22,23
"UNIÓN CELESTE Y BLANCO (173)",5,5,-,4,5
"COMPROMISO CORRENTINO (175)",17,18,-,16,16
"KOLINA (192)",11,10,10,10,10
"Votos en Blanco",51,146,163,141,126
"Votos Nulos",39,27,27,27,27
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
