partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",105,95,94,87,84
"JUSTICIALISTA (2)",104,100,338,129,132
"UNIÓN CÍVICA RADICAL (3)",578,552,548,473,465
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,54,54,50,48
"DEMÓCRATA CRISTIANO (5)",40,39,41,46,45
"DE LA CONCERTACIÓN - FORJA (7)",59,51,51,46,47
"FEDERAL (8)",35,36,-,47,44
"DEMÓCRATA PROGRESISTA (9)",53,48,46,40,42
"RENOVADOR FEDERAL (10)",25,25,27,36,30
"LADRILLEROS UNIDOS (11)",60,57,57,51,54
"COMUNISTA (12)",33,32,-,39,44
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,21,21,20,19
"ACCIÓN POR CORRIENTES (14)",49,47,45,42,43
"UNIDOS POR CORRIENTES (15)",52,51,50,46,46
"LABORISTA AUTÓNOMO (17)",49,49,49,49,49
"ELI - ENCUENTRO LIBERAL (18)",110,105,102,96,95
"CAMBIO POPULAR (19)",16,17,17,23,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",12,9,-,12,13
"CONVOCATORIA POPULAR (21)",6,5,-,9,-
"FE (23)",15,14,13,14,-
"NUESTRA CAUSA (24)",6,6,7,8,6
"UNION POPULAR (25)",77,75,75,72,73
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",24,23,24,31,31
"ENCUENTRO CORRELIGIONARIO (27)",53,51,52,48,49
"CAMBIO AUSTERIDAD Y PROGRESO (28)",19,19,20,11,11
"DEL TRABAJO Y DEL PUEBLO (29)",17,17,17,21,21
"CIUDADANOS A GOBERNAR (30)",54,51,50,46,45
"CONSERVADOR POPULAR (31)",34,34,33,32,32
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",47,43,43,40,38
"NUEVO PAIS (33)",39,40,-,54,48
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",34,32,32,30,30
"TERCERA POSICIÓN (35)",6,6,7,9,-
"UNIÓN CORRENTINA (37)",29,26,26,25,25
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",35,33,29,31,31
"UNIÓN PARA EL DESARROLLO (42)",25,23,22,21,21
"NORTE GRANDE (43)",27,25,25,25,23
"ACCIÓN POR LA REPÚBLICA (44)",30,29,29,27,28
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",22,24,-,24,24
"VAMOS CORRIENTES (46)",60,60,58,54,52
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",178,166,148,158,157
"PARTIDO AGRARIO Y SOCIAL (49)",30,31,-,39,37
"SOCIALISTA (50)",60,53,53,47,46
"LIBERAL (51)",88,83,86,77,77
"AUTONOMISTA (52)",67,64,64,58,58
"DE LA VICTORIA (54)",15,14,17,20,18
"PROYECTO CORRIENTES (57)",40,38,-,59,54
"PRO - PROPUESTA REPUBLICANA (64)",40,35,35,33,33
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,12,10
"NUEVO (90)",53,53,54,48,49
"POPULAR CORRENTINO (169)",177,166,166,163,160
"CRECER CON TODOS (170)",26,23,23,25,24
"UNIÓN CELESTE Y BLANCO (173)",15,13,-,22,20
"COMPROMISO CORRENTINO (175)",48,47,-,58,54
"KOLINA (192)",19,20,22,23,21
"INTEGRACIÓN CORRENTINA (36)",-,-,-,58,60
"NUEVA CORRIENTES (41)",-,-,-,10,10
"Votos en Blanco",81,241,301,203,280
"Votos Nulos",74,51,50,51,51
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
