partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",64,58,57
"JUSTICIALISTA (2)",297,300,459
"UNIÓN CÍVICA RADICAL (3)",503,487,486
"MOVIMIENTO SIEMPRE CORRIENTES (4)",43,37,37
"DEMÓCRATA CRISTIANO (5)",28,27,28
"DE LA CONCERTACIÓN - FORJA (7)",30,26,26
"FEDERAL (8)",33,33,-
"DEMÓCRATA PROGRESISTA (9)",15,13,13
"RENOVADOR FEDERAL (10)",47,47,46
"LADRILLEROS UNIDOS (11)",45,41,41
"COMUNISTA (12)",16,16,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,22,23
"ACCIÓN POR CORRIENTES (14)",17,17,17
"UNIDOS POR CORRIENTES (15)",51,46,46
"LABORISTA AUTÓNOMO (17)",49,47,48
"ELI - ENCUENTRO LIBERAL (18)",67,66,66
"CAMBIO POPULAR (19)",9,9,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,15,-
"CONVOCATORIA POPULAR (21)",18,21,-
"FE (23)",10,10,10
"NUESTRA CAUSA (24)",16,16,16
"UNION POPULAR (25)",76,75,72
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,21,21
"ENCUENTRO CORRELIGIONARIO (27)",25,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",92,92,93
"DEL TRABAJO Y DEL PUEBLO (29)",12,13,13
"CIUDADANOS A GOBERNAR (30)",21,18,18
"CONSERVADOR POPULAR (31)",19,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",22,20,20
"NUEVO PAIS (33)",9,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10
"TERCERA POSICIÓN (35)",10,10,10
"UNIÓN CORRENTINA (37)",18,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,15,15
"UNIÓN PARA EL DESARROLLO (42)",7,7,7
"NORTE GRANDE (43)",39,36,36
"ACCIÓN POR LA REPÚBLICA (44)",31,30,30
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-
"VAMOS CORRIENTES (46)",89,88,88
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",19,19,19
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",22,22,21
"LIBERAL (51)",68,65,65
"AUTONOMISTA (52)",24,23,23
"DE LA VICTORIA (54)",30,30,30
"PROYECTO CORRIENTES (57)",18,18,-
"PRO - PROPUESTA REPUBLICANA (64)",70,67,66
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",19,20,20
"NUEVO (90)",21,20,20
"POPULAR CORRENTINO (169)",45,44,44
"CRECER CON TODOS (170)",29,25,25
"UNIÓN CELESTE Y BLANCO (173)",42,42,-
"COMPROMISO CORRENTINO (175)",19,19,-
"KOLINA (192)",28,28,24
"Votos en Blanco",50,150,186
"Votos Nulos",58,29,28
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
