partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",157,147,151
"JUSTICIALISTA (2)",146,144,261
"UNIÓN CÍVICA RADICAL (3)",525,493,491
"MOVIMIENTO SIEMPRE CORRIENTES (4)",47,46,46
"DEMÓCRATA CRISTIANO (5)",19,19,18
"DE LA CONCERTACIÓN - FORJA (7)",33,31,31
"FEDERAL (8)",19,19,-
"DEMÓCRATA PROGRESISTA (9)",41,39,39
"RENOVADOR FEDERAL (10)",54,56,57
"LADRILLEROS UNIDOS (11)",40,38,40
"COMUNISTA (12)",11,11,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,14,14
"ACCIÓN POR CORRIENTES (14)",40,39,39
"UNIDOS POR CORRIENTES (15)",40,39,39
"LABORISTA AUTÓNOMO (17)",29,26,26
"ELI - ENCUENTRO LIBERAL (18)",138,130,129
"CAMBIO POPULAR (19)",12,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,0,-
"CONVOCATORIA POPULAR (21)",13,13,-
"FE (23)",4,3,3
"NUESTRA CAUSA (24)",4,4,4
"UNION POPULAR (25)",38,36,36
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,14,14
"ENCUENTRO CORRELIGIONARIO (27)",38,36,36
"CAMBIO AUSTERIDAD Y PROGRESO (28)",27,27,27
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",17,16,16
"CONSERVADOR POPULAR (31)",21,20,20
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",54,51,51
"NUEVO PAIS (33)",9,8,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8
"TERCERA POSICIÓN (35)",9,9,9
"UNIÓN CORRENTINA (37)",13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,19,19
"UNIÓN PARA EL DESARROLLO (42)",12,12,12
"NORTE GRANDE (43)",17,17,17
"ACCIÓN POR LA REPÚBLICA (44)",21,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",50,47,47
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",58,55,55
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-
"SOCIALISTA (50)",18,18,18
"LIBERAL (51)",91,91,92
"AUTONOMISTA (52)",40,38,38
"DE LA VICTORIA (54)",52,52,51
"PROYECTO CORRIENTES (57)",8,8,-
"PRO - PROPUESTA REPUBLICANA (64)",66,61,62
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",19,19,19
"NUEVO (90)",56,56,56
"POPULAR CORRENTINO (169)",122,119,119
"CRECER CON TODOS (170)",40,38,38
"UNIÓN CELESTE Y BLANCO (173)",44,38,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",18,17,17
"Votos en Blanco",83,188,188
"Votos Nulos",39,34,34
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
