partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",91,86,85
"JUSTICIALISTA (2)",353,352,478
"UNIÓN CÍVICA RADICAL (3)",574,562,560
"MOVIMIENTO SIEMPRE CORRIENTES (4)",91,85,84
"DEMÓCRATA CRISTIANO (5)",29,29,29
"DE LA CONCERTACIÓN - FORJA (7)",32,31,29
"FEDERAL (8)",18,19,-
"DEMÓCRATA PROGRESISTA (9)",41,39,39
"RENOVADOR FEDERAL (10)",75,74,73
"LADRILLEROS UNIDOS (11)",25,24,23
"COMUNISTA (12)",14,14,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,23,22
"ACCIÓN POR CORRIENTES (14)",18,16,16
"UNIDOS POR CORRIENTES (15)",40,37,37
"LABORISTA AUTÓNOMO (17)",20,18,18
"ELI - ENCUENTRO LIBERAL (18)",100,98,98
"CAMBIO POPULAR (19)",7,7,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-
"CONVOCATORIA POPULAR (21)",25,24,-
"FE (23)",12,12,12
"NUESTRA CAUSA (24)",9,9,9
"UNION POPULAR (25)",33,29,29
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",25,25,25
"ENCUENTRO CORRELIGIONARIO (27)",36,34,34
"CAMBIO AUSTERIDAD Y PROGRESO (28)",83,84,85
"DEL TRABAJO Y DEL PUEBLO (29)",8,9,8
"CIUDADANOS A GOBERNAR (30)",32,32,32
"CONSERVADOR POPULAR (31)",11,10,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",19,15,14
"NUEVO PAIS (33)",10,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,6
"TERCERA POSICIÓN (35)",5,5,3
"UNIÓN CORRENTINA (37)",14,12,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9
"UNIÓN PARA EL DESARROLLO (42)",12,11,11
"NORTE GRANDE (43)",15,14,14
"ACCIÓN POR LA REPÚBLICA (44)",19,18,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-
"VAMOS CORRIENTES (46)",73,69,69
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",23,22,22
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",7,5,5
"LIBERAL (51)",37,37,38
"AUTONOMISTA (52)",58,56,56
"DE LA VICTORIA (54)",26,27,24
"PROYECTO CORRIENTES (57)",10,10,-
"PRO - PROPUESTA REPUBLICANA (64)",63,60,60
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,15,17
"NUEVO (90)",15,14,14
"POPULAR CORRENTINO (169)",97,95,95
"CRECER CON TODOS (170)",37,37,37
"UNIÓN CELESTE Y BLANCO (173)",25,25,-
"COMPROMISO CORRENTINO (175)",18,17,-
"KOLINA (192)",8,6,6
"Votos en Blanco",29,109,125
"Votos Nulos",42,30,34
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
