partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",14,11,11
"JUSTICIALISTA (2)",353,356,483
"UNIÓN CÍVICA RADICAL (3)",347,329,320
"MOVIMIENTO SIEMPRE CORRIENTES (4)",72,68,68
"DEMÓCRATA CRISTIANO (5)",11,12,11
"DE LA CONCERTACIÓN - FORJA (7)",6,6,6
"FEDERAL (8)",5,4,-
"DEMÓCRATA PROGRESISTA (9)",17,15,15
"RENOVADOR FEDERAL (10)",55,53,58
"LADRILLEROS UNIDOS (11)",3,2,2
"COMUNISTA (12)",19,19,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,11
"ACCIÓN POR CORRIENTES (14)",9,7,7
"UNIDOS POR CORRIENTES (15)",11,11,17
"LABORISTA AUTÓNOMO (17)",4,4,4
"ELI - ENCUENTRO LIBERAL (18)",105,100,100
"CAMBIO POPULAR (19)",7,7,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-
"CONVOCATORIA POPULAR (21)",11,11,-
"FE (23)",7,7,7
"NUESTRA CAUSA (24)",6,6,6
"UNION POPULAR (25)",51,47,47
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3
"ENCUENTRO CORRELIGIONARIO (27)",17,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",47,45,46
"DEL TRABAJO Y DEL PUEBLO (29)",12,13,13
"CIUDADANOS A GOBERNAR (30)",9,7,7
"CONSERVADOR POPULAR (31)",15,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",42,39,39
"NUEVO PAIS (33)",15,15,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,8,8
"TERCERA POSICIÓN (35)",6,6,6
"UNIÓN CORRENTINA (37)",24,23,23
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14
"UNIÓN PARA EL DESARROLLO (42)",4,4,4
"NORTE GRANDE (43)",10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",17,15,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,5,-
"VAMOS CORRIENTES (46)",547,510,507
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,16,15
"PARTIDO AGRARIO Y SOCIAL (49)",21,22,-
"SOCIALISTA (50)",30,30,30
"LIBERAL (51)",105,97,99
"AUTONOMISTA (52)",19,18,19
"DE LA VICTORIA (54)",22,22,22
"PROYECTO CORRIENTES (57)",13,14,-
"PRO - PROPUESTA REPUBLICANA (64)",169,165,166
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,7
"NUEVO (90)",51,47,46
"POPULAR CORRENTINO (169)",100,93,93
"CRECER CON TODOS (170)",26,24,21
"UNIÓN CELESTE Y BLANCO (173)",15,15,-
"COMPROMISO CORRENTINO (175)",9,10,-
"KOLINA (192)",27,27,27
"Votos en Blanco",40,155,156
"Votos Nulos",51,46,45
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
