partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",90,86,85,78,78
"JUSTICIALISTA (2)",94,94,238,107,105
"UNIÓN CÍVICA RADICAL (3)",479,455,450,380,373
"MOVIMIENTO SIEMPRE CORRIENTES (4)",48,46,45,46,42
"DEMÓCRATA CRISTIANO (5)",52,62,65,72,70
"DE LA CONCERTACIÓN - FORJA (7)",56,49,46,44,44
"FEDERAL (8)",37,37,-,53,50
"DEMÓCRATA PROGRESISTA (9)",39,35,34,33,33
"RENOVADOR FEDERAL (10)",44,45,47,58,54
"LADRILLEROS UNIDOS (11)",32,31,31,31,31
"COMUNISTA (12)",22,22,-,23,31
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",21,23,22,21,18
"ACCIÓN POR CORRIENTES (14)",33,30,30,23,23
"UNIDOS POR CORRIENTES (15)",89,83,82,76,77
"LABORISTA AUTÓNOMO (17)",36,34,34,33,32
"ELI - ENCUENTRO LIBERAL (18)",76,74,75,71,70
"CAMBIO POPULAR (19)",16,16,15,21,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",12,12,-,14,12
"CONVOCATORIA POPULAR (21)",10,9,-,11,-
"FE (23)",14,14,14,14,-
"NUESTRA CAUSA (24)",7,7,7,8,8
"UNION POPULAR (25)",29,27,27,27,28
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,11,11,11,11
"ENCUENTRO CORRELIGIONARIO (27)",27,27,27,23,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12,11,11
"DEL TRABAJO Y DEL PUEBLO (29)",16,16,16,25,24
"CIUDADANOS A GOBERNAR (30)",28,26,23,21,21
"CONSERVADOR POPULAR (31)",20,20,20,19,19
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",17,16,17,15,15
"NUEVO PAIS (33)",14,15,-,21,20
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,16,13,13,13
"TERCERA POSICIÓN (35)",1,1,1,1,-
"UNIÓN CORRENTINA (37)",9,9,8,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,16,15,15,15
"UNIÓN PARA EL DESARROLLO (42)",9,9,8,7,7
"NORTE GRANDE (43)",7,7,7,7,7
"ACCIÓN POR LA REPÚBLICA (44)",28,28,27,25,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-,8,8
"VAMOS CORRIENTES (46)",12,11,11,9,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",69,68,66,65,67
"PARTIDO AGRARIO Y SOCIAL (49)",37,37,-,38,36
"SOCIALISTA (50)",8,8,8,8,8
"LIBERAL (51)",33,33,33,30,32
"AUTONOMISTA (52)",34,33,35,28,29
"DE LA VICTORIA (54)",18,17,18,20,19
"PROYECTO CORRIENTES (57)",19,20,-,41,36
"PRO - PROPUESTA REPUBLICANA (64)",40,40,40,38,39
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10,10,10
"NUEVO (90)",31,31,32,27,27
"POPULAR CORRENTINO (169)",73,70,68,65,64
"CRECER CON TODOS (170)",9,9,9,8,8
"UNIÓN CELESTE Y BLANCO (173)",13,14,-,17,17
"COMPROMISO CORRENTINO (175)",5,5,-,10,8
"KOLINA (192)",6,6,6,8,8
"INTEGRACIÓN CORRENTINA (36)",-,-,-,47,40
"NUEVA CORRIENTES (41)",-,-,-,7,8
"Votos en Blanco",63,126,176,111,174
"Votos Nulos",49,38,38,39,39
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
