partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",50,48,47,44,44
"JUSTICIALISTA (2)",0,0,495,-,0
"UNIÓN CÍVICA RADICAL (3)",535,507,505,501,490
"MOVIMIENTO SIEMPRE CORRIENTES (4)",39,33,32,33,32
"DEMÓCRATA CRISTIANO (5)",2,2,2,-,1
"DE LA CONCERTACIÓN - FORJA (7)",38,36,36,35,36
"FEDERAL (8)",66,67,-,84,80
"DEMÓCRATA PROGRESISTA (9)",25,24,24,25,24
"RENOVADOR FEDERAL (10)",42,45,45,-,51
"LADRILLEROS UNIDOS (11)",21,19,19,18,20
"COMUNISTA (12)",0,0,-,-,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,0
"ACCIÓN POR CORRIENTES (14)",41,39,39,40,46
"UNIDOS POR CORRIENTES (15)",36,29,29,30,29
"LABORISTA AUTÓNOMO (17)",9,9,9,10,10
"ELI - ENCUENTRO LIBERAL (18)",55,55,54,50,50
"CAMBIO POPULAR (19)",34,35,35,40,36
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",27,27,-,28,28
"CONVOCATORIA POPULAR (21)",0,0,-,-,0
"FE (23)",4,4,4,-,-
"NUESTRA CAUSA (24)",106,105,104,-,96
"UNION POPULAR (25)",21,19,19,18,19
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,14,14,146,27
"ENCUENTRO CORRELIGIONARIO (27)",7,6,6,6,5
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,6,5,5
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",27,23,24,22,22
"CONSERVADOR POPULAR (31)",11,10,9,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",5,3,2,2,2
"NUEVO PAIS (33)",239,245,-,306,289
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10,9,9
"TERCERA POSICIÓN (35)",0,0,0,-,0
"UNIÓN CORRENTINA (37)",12,12,12,12,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,21,21,21,21
"UNIÓN PARA EL DESARROLLO (42)",3,2,2,2,2
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",85,78,78,80,85
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-,12,11
"VAMOS CORRIENTES (46)",12,12,12,10,11
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",14,14,14,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",11,11,-,12,11
"SOCIALISTA (50)",115,112,109,111,114
"LIBERAL (51)",60,54,54,55,54
"AUTONOMISTA (52)",86,85,85,85,89
"DE LA VICTORIA (54)",0,0,0,-,0
"PROYECTO CORRIENTES (57)",101,104,-,121,112
"PRO - PROPUESTA REPUBLICANA (64)",70,68,67,65,67
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,0
"NUEVO (90)",13,13,13,12,12
"POPULAR CORRENTINO (169)",36,36,36,36,36
"CRECER CON TODOS (170)",10,10,10,10,10
"UNIÓN CELESTE Y BLANCO (173)",21,21,-,33,29
"COMPROMISO CORRENTINO (175)",11,11,-,-,-
"KOLINA (192)",0,0,0,-,0
"Votos en Blanco",100,186,201,131,132
"Votos Nulos",61,43,43,43,43
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
