partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",19,18,18,19,19
"JUSTICIALISTA (2)",342,357,625,372,353
"UNIÓN CÍVICA RADICAL (3)",571,544,546,548,531
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,25,25,26,26
"DEMÓCRATA CRISTIANO (5)",17,17,17,16,17
"DE LA CONCERTACIÓN - FORJA (7)",46,44,35,45,44
"FEDERAL (8)",36,36,-,37,37
"DEMÓCRATA PROGRESISTA (9)",35,30,32,32,29
"RENOVADOR FEDERAL (10)",33,35,36,41,36
"LADRILLEROS UNIDOS (11)",28,27,28,25,25
"COMUNISTA (12)",18,18,-,18,18
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,31,31,32,31
"ACCIÓN POR CORRIENTES (14)",8,8,9,8,8
"UNIDOS POR CORRIENTES (15)",15,15,15,15,15
"LABORISTA AUTÓNOMO (17)",24,23,23,22,22
"ELI - ENCUENTRO LIBERAL (18)",125,123,123,123,120
"CAMBIO POPULAR (19)",32,32,33,32,33
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,0,0
"CONVOCATORIA POPULAR (21)",22,22,-,22,22
"FE (23)",5,4,4,5,5
"NUESTRA CAUSA (24)",5,5,5,5,5
"UNION POPULAR (25)",32,30,31,32,31
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9,8,8
"ENCUENTRO CORRELIGIONARIO (27)",22,20,20,19,19
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,6,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",8,8,8,8,9
"CIUDADANOS A GOBERNAR (30)",22,20,20,18,18
"CONSERVADOR POPULAR (31)",8,8,8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,21,22,21,16
"NUEVO PAIS (33)",57,46,-,62,58
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,7,8,8
"TERCERA POSICIÓN (35)",10,10,10,11,11
"UNIÓN CORRENTINA (37)",8,8,8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,12,12,11,11
"UNIÓN PARA EL DESARROLLO (42)",14,14,14,14,14
"NORTE GRANDE (43)",23,22,22,20,19
"ACCIÓN POR LA REPÚBLICA (44)",13,13,9,13,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,2,-
"VAMOS CORRIENTES (46)",37,36,36,34,35
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8,9,8
"PARTIDO AGRARIO Y SOCIAL (49)",5,5,-,6,6
"SOCIALISTA (50)",18,18,17,18,17
"LIBERAL (51)",44,39,38,38,37
"AUTONOMISTA (52)",123,118,119,130,141
"DE LA VICTORIA (54)",42,43,43,48,48
"PROYECTO CORRIENTES (57)",113,113,-,126,122
"PRO - PROPUESTA REPUBLICANA (64)",119,116,116,115,113
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,17,18,18
"NUEVO (90)",12,10,10,10,10
"POPULAR CORRENTINO (169)",63,60,61,61,67
"CRECER CON TODOS (170)",34,33,34,32,32
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,1,1
"COMPROMISO CORRENTINO (175)",3,3,-,4,3
"KOLINA (192)",11,11,11,15,12
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,26,26
"Votos en Blanco",109,180,166,84,139
"Votos Nulos",23,17,17,17,17
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
