partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",22,20,20
"JUSTICIALISTA (2)",215,212,362
"UNIÓN CÍVICA RADICAL (3)",486,454,447
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,10,10
"DEMÓCRATA CRISTIANO (5)",16,16,16
"DE LA CONCERTACIÓN - FORJA (7)",20,18,18
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",23,22,22
"RENOVADOR FEDERAL (10)",87,88,92
"LADRILLEROS UNIDOS (11)",20,17,17
"COMUNISTA (12)",5,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,8
"ACCIÓN POR CORRIENTES (14)",15,14,14
"UNIDOS POR CORRIENTES (15)",11,11,11
"LABORISTA AUTÓNOMO (17)",18,18,17
"ELI - ENCUENTRO LIBERAL (18)",112,105,104
"CAMBIO POPULAR (19)",20,21,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-
"CONVOCATORIA POPULAR (21)",17,17,-
"FE (23)",3,4,3
"NUESTRA CAUSA (24)",10,10,9
"UNION POPULAR (25)",40,34,34
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,18,17
"ENCUENTRO CORRELIGIONARIO (27)",18,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",209,191,209
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1
"CIUDADANOS A GOBERNAR (30)",12,11,11
"CONSERVADOR POPULAR (31)",11,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",67,62,62
"NUEVO PAIS (33)",7,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,22,23
"TERCERA POSICIÓN (35)",8,8,8
"UNIÓN CORRENTINA (37)",14,14,14
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",32,29,29
"UNIÓN PARA EL DESARROLLO (42)",10,9,9
"NORTE GRANDE (43)",31,30,30
"ACCIÓN POR LA REPÚBLICA (44)",13,11,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",30,28,-
"VAMOS CORRIENTES (46)",31,30,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",27,25,25
"PARTIDO AGRARIO Y SOCIAL (49)",24,24,-
"SOCIALISTA (50)",15,14,14
"LIBERAL (51)",216,207,213
"AUTONOMISTA (52)",49,50,50
"DE LA VICTORIA (54)",20,19,19
"PROYECTO CORRIENTES (57)",13,13,-
"PRO - PROPUESTA REPUBLICANA (64)",65,63,59
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,11,11
"NUEVO (90)",23,23,23
"POPULAR CORRENTINO (169)",33,31,30
"CRECER CON TODOS (170)",43,40,41
"UNIÓN CELESTE Y BLANCO (173)",36,37,-
"COMPROMISO CORRENTINO (175)",30,29,-
"KOLINA (192)",25,23,18
"Votos en Blanco",57,197,209
"Votos Nulos",47,23,23
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
