partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",31,31,31,30,31
"JUSTICIALISTA (2)",260,264,432,285,262
"UNIÓN CÍVICA RADICAL (3)",424,418,421,417,403
"MOVIMIENTO SIEMPRE CORRIENTES (4)",53,50,49,52,49
"DEMÓCRATA CRISTIANO (5)",10,10,10,-,-
"DE LA CONCERTACIÓN - FORJA (7)",44,41,40,43,39
"FEDERAL (8)",61,62,-,63,63
"DEMÓCRATA PROGRESISTA (9)",21,18,18,20,17
"RENOVADOR FEDERAL (10)",41,40,41,46,46
"LADRILLEROS UNIDOS (11)",38,36,37,36,35
"COMUNISTA (12)",14,14,-,14,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",46,46,46,46,45
"ACCIÓN POR CORRIENTES (14)",71,70,70,72,68
"UNIDOS POR CORRIENTES (15)",39,38,38,39,39
"LABORISTA AUTÓNOMO (17)",11,12,12,13,13
"ELI - ENCUENTRO LIBERAL (18)",73,70,70,72,54
"CAMBIO POPULAR (19)",13,13,13,14,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",23,23,-,23,23
"CONVOCATORIA POPULAR (21)",14,14,-,16,16
"FE (23)",18,19,19,19,20
"NUESTRA CAUSA (24)",3,3,3,3,3
"UNION POPULAR (25)",123,116,117,117,118
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15,-,14
"ENCUENTRO CORRELIGIONARIO (27)",22,22,22,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",46,44,44,46,58
"DEL TRABAJO Y DEL PUEBLO (29)",15,15,15,15,14
"CIUDADANOS A GOBERNAR (30)",35,34,34,34,37
"CONSERVADOR POPULAR (31)",37,37,37,37,36
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",10,10,10,9,10
"NUEVO PAIS (33)",13,12,-,31,18
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,22,22,23,31
"TERCERA POSICIÓN (35)",8,8,8,8,9
"UNIÓN CORRENTINA (37)",7,7,7,6,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",64,60,59,59,66
"UNIÓN PARA EL DESARROLLO (42)",19,16,16,19,19
"NORTE GRANDE (43)",22,23,23,26,27
"ACCIÓN POR LA REPÚBLICA (44)",11,12,12,12,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",23,21,21,22,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,12,12,12,13
"PARTIDO AGRARIO Y SOCIAL (49)",20,20,-,-,23
"SOCIALISTA (50)",32,31,30,32,32
"LIBERAL (51)",93,93,93,91,94
"AUTONOMISTA (52)",40,40,40,39,39
"DE LA VICTORIA (54)",16,16,16,16,16
"PROYECTO CORRIENTES (57)",13,13,-,13,13
"PRO - PROPUESTA REPUBLICANA (64)",134,129,124,138,131
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,12,12,12,12
"NUEVO (90)",20,20,20,20,20
"POPULAR CORRENTINO (169)",38,36,36,38,36
"CRECER CON TODOS (170)",53,51,51,53,52
"UNIÓN CELESTE Y BLANCO (173)",38,39,-,38,37
"COMPROMISO CORRENTINO (175)",17,17,-,19,19
"KOLINA (192)",33,32,32,35,35
"Votos en Blanco",90,134,184,99,115
"Votos Nulos",44,44,43,41,44
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
