partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",97,92,93,83,85
"JUSTICIALISTA (2)",145,148,408,165,158
"UNIÓN CÍVICA RADICAL (3)",741,691,709,597,592
"MOVIMIENTO SIEMPRE CORRIENTES (4)",95,85,85,76,74
"DEMÓCRATA CRISTIANO (5)",49,52,52,63,70
"DE LA CONCERTACIÓN - FORJA (7)",64,60,59,56,55
"FEDERAL (8)",60,61,-,82,74
"DEMÓCRATA PROGRESISTA (9)",80,77,71,68,67
"RENOVADOR FEDERAL (10)",74,75,76,87,85
"LADRILLEROS UNIDOS (11)",70,64,59,56,56
"COMUNISTA (12)",22,22,-,25,35
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",28,30,30,17,20
"ACCIÓN POR CORRIENTES (14)",73,65,64,59,57
"UNIDOS POR CORRIENTES (15)",66,65,64,61,62
"LABORISTA AUTÓNOMO (17)",25,25,24,24,24
"ELI - ENCUENTRO LIBERAL (18)",169,160,160,152,153
"CAMBIO POPULAR (19)",18,18,18,21,22
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,14,-,26,24
"CONVOCATORIA POPULAR (21)",14,14,-,13,-
"FE (23)",14,14,14,19,-
"NUESTRA CAUSA (24)",27,26,27,27,27
"UNION POPULAR (25)",40,40,38,36,36
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,25,25,29,28
"ENCUENTRO CORRELIGIONARIO (27)",77,74,73,70,69
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,17,16,15,15
"DEL TRABAJO Y DEL PUEBLO (29)",18,18,18,22,23
"CIUDADANOS A GOBERNAR (30)",44,42,42,42,44
"CONSERVADOR POPULAR (31)",15,15,15,15,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",28,26,27,24,25
"NUEVO PAIS (33)",44,43,-,56,50
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",31,28,26,24,23
"TERCERA POSICIÓN (35)",12,12,12,14,-
"UNIÓN CORRENTINA (37)",28,26,28,26,27
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",33,33,32,32,32
"UNIÓN PARA EL DESARROLLO (42)",17,16,14,15,13
"NORTE GRANDE (43)",17,17,17,16,17
"ACCIÓN POR LA REPÚBLICA (44)",19,19,19,16,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",15,15,-,22,15
"VAMOS CORRIENTES (46)",36,33,32,28,30
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",131,121,116,118,123
"PARTIDO AGRARIO Y SOCIAL (49)",24,24,-,31,29
"SOCIALISTA (50)",13,13,12,8,8
"LIBERAL (51)",37,38,38,38,38
"AUTONOMISTA (52)",61,59,56,49,46
"DE LA VICTORIA (54)",17,17,17,20,19
"PROYECTO CORRIENTES (57)",36,37,-,63,57
"PRO - PROPUESTA REPUBLICANA (64)",45,43,43,44,43
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3,4,5
"NUEVO (90)",38,37,37,36,40
"POPULAR CORRENTINO (169)",117,114,113,108,107
"CRECER CON TODOS (170)",15,14,14,13,14
"UNIÓN CELESTE Y BLANCO (173)",8,9,-,15,12
"COMPROMISO CORRENTINO (175)",12,11,-,15,14
"KOLINA (192)",7,7,7,8,9
"INTEGRACIÓN CORRENTINA (36)",-,-,-,89,90
"NUEVA CORRIENTES (41)",-,-,-,13,13
"Votos en Blanco",96,223,224,178,245
"Votos Nulos",98,80,80,78,76
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
