partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,78,75,68,70
"JUSTICIALISTA (2)",111,115,284,123,111
"UNIÓN CÍVICA RADICAL (3)",630,593,590,505,494
"MOVIMIENTO SIEMPRE CORRIENTES (4)",68,62,61,54,54
"DEMÓCRATA CRISTIANO (5)",21,20,21,24,22
"DE LA CONCERTACIÓN - FORJA (7)",32,30,30,27,27
"FEDERAL (8)",44,44,-,66,60
"DEMÓCRATA PROGRESISTA (9)",34,33,33,30,33
"RENOVADOR FEDERAL (10)",36,37,41,44,42
"LADRILLEROS UNIDOS (11)",27,24,24,23,23
"COMUNISTA (12)",27,27,-,37,36
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,15,15,14,14
"ACCIÓN POR CORRIENTES (14)",25,25,25,25,25
"UNIDOS POR CORRIENTES (15)",48,47,47,44,44
"LABORISTA AUTÓNOMO (17)",31,29,28,26,26
"ELI - ENCUENTRO LIBERAL (18)",126,119,115,110,111
"CAMBIO POPULAR (19)",13,15,14,20,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,12,10
"CONVOCATORIA POPULAR (21)",5,6,-,8,-
"FE (23)",10,10,9,9,-
"NUESTRA CAUSA (24)",8,7,7,9,8
"UNION POPULAR (25)",54,50,50,46,47
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,13,13,19,18
"ENCUENTRO CORRELIGIONARIO (27)",70,58,58,56,54
"CAMBIO AUSTERIDAD Y PROGRESO (28)",21,21,20,17,17
"DEL TRABAJO Y DEL PUEBLO (29)",11,11,11,14,13
"CIUDADANOS A GOBERNAR (30)",51,49,48,47,46
"CONSERVADOR POPULAR (31)",16,16,15,15,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,32,32,29,29
"NUEVO PAIS (33)",18,17,-,28,26
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,22,21,21,21
"TERCERA POSICIÓN (35)",4,4,4,6,-
"UNIÓN CORRENTINA (37)",36,33,36,36,36
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,14,13,13
"UNIÓN PARA EL DESARROLLO (42)",15,15,15,15,15
"NORTE GRANDE (43)",2,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",22,21,22,18,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",11,11,-,17,17
"VAMOS CORRIENTES (46)",19,16,16,15,15
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",103,99,99,97,98
"PARTIDO AGRARIO Y SOCIAL (49)",15,17,-,23,22
"SOCIALISTA (50)",27,27,27,25,25
"LIBERAL (51)",55,55,53,50,51
"AUTONOMISTA (52)",31,31,32,30,30
"DE LA VICTORIA (54)",15,16,14,16,16
"PROYECTO CORRIENTES (57)",34,35,-,48,48
"PRO - PROPUESTA REPUBLICANA (64)",66,66,65,61,64
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,4,5
"NUEVO (90)",42,41,41,39,40
"POPULAR CORRENTINO (169)",90,86,86,81,83
"CRECER CON TODOS (170)",17,15,13,11,12
"UNIÓN CELESTE Y BLANCO (173)",9,8,-,15,14
"COMPROMISO CORRENTINO (175)",12,11,-,14,14
"KOLINA (192)",12,13,13,14,14
"INTEGRACIÓN CORRENTINA (36)",-,-,-,68,70
"NUEVA CORRIENTES (41)",-,-,-,4,4
"Votos en Blanco",46,145,173,119,172
"Votos Nulos",51,42,42,47,45
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
