partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",22,19,19
"JUSTICIALISTA (2)",244,242,315
"UNIÓN CÍVICA RADICAL (3)",545,532,531
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,6,6
"DEMÓCRATA CRISTIANO (5)",8,7,7
"DE LA CONCERTACIÓN - FORJA (7)",15,14,14
"FEDERAL (8)",9,9,-
"DEMÓCRATA PROGRESISTA (9)",36,34,33
"RENOVADOR FEDERAL (10)",4,4,4
"LADRILLEROS UNIDOS (11)",8,7,6
"COMUNISTA (12)",6,6,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,8,9
"ACCIÓN POR CORRIENTES (14)",124,123,122
"UNIDOS POR CORRIENTES (15)",32,31,31
"LABORISTA AUTÓNOMO (17)",16,16,16
"ELI - ENCUENTRO LIBERAL (18)",307,298,298
"CAMBIO POPULAR (19)",3,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",26,26,-
"CONVOCATORIA POPULAR (21)",9,9,-
"FE (23)",5,5,5
"NUESTRA CAUSA (24)",7,6,6
"UNION POPULAR (25)",18,18,19
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3
"ENCUENTRO CORRELIGIONARIO (27)",66,66,65
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,16,16
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",7,6,6
"CONSERVADOR POPULAR (31)",3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",47,45,46
"NUEVO PAIS (33)",4,4,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,9,10
"TERCERA POSICIÓN (35)",2,2,2
"UNIÓN CORRENTINA (37)",18,18,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",7,6,6
"UNIÓN PARA EL DESARROLLO (42)",8,6,6
"NORTE GRANDE (43)",15,14,13
"ACCIÓN POR LA REPÚBLICA (44)",27,25,25
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",14,14,14
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",35,34,33
"PARTIDO AGRARIO Y SOCIAL (49)",8,8,-
"SOCIALISTA (50)",12,12,12
"LIBERAL (51)",122,123,123
"AUTONOMISTA (52)",156,155,157
"DE LA VICTORIA (54)",4,5,5
"PROYECTO CORRIENTES (57)",10,10,-
"PRO - PROPUESTA REPUBLICANA (64)",33,32,32
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6
"NUEVO (90)",77,72,71
"POPULAR CORRENTINO (169)",219,214,214
"CRECER CON TODOS (170)",8,8,8
"UNIÓN CELESTE Y BLANCO (173)",16,14,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",16,16,17
"Votos en Blanco",27,86,112
"Votos Nulos",31,28,28
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
