partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",28,27,27,28,28
"JUSTICIALISTA (2)",287,319,520,368,466
"UNIÓN CÍVICA RADICAL (3)",457,432,430,431,425
"MOVIMIENTO SIEMPRE CORRIENTES (4)",8,8,8,8,8
"DEMÓCRATA CRISTIANO (5)",21,21,22,28,38
"DE LA CONCERTACIÓN - FORJA (7)",22,19,19,17,19
"FEDERAL (8)",64,64,-,69,-
"DEMÓCRATA PROGRESISTA (9)",16,15,15,15,16
"RENOVADOR FEDERAL (10)",100,103,103,108,-
"LADRILLEROS UNIDOS (11)",16,14,14,14,13
"COMUNISTA (12)",15,16,-,20,18
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",39,39,41,45,44
"ACCIÓN POR CORRIENTES (14)",50,45,45,45,45
"UNIDOS POR CORRIENTES (15)",22,20,20,19,20
"LABORISTA AUTÓNOMO (17)",6,7,7,8,7
"ELI - ENCUENTRO LIBERAL (18)",25,24,24,24,23
"CAMBIO POPULAR (19)",9,9,9,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",26,26,-,29,-
"CONVOCATORIA POPULAR (21)",9,9,-,10,17
"FE (23)",12,12,12,14,13
"NUESTRA CAUSA (24)",21,24,23,27,-
"UNION POPULAR (25)",24,22,22,23,22
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",46,46,46,-,35
"ENCUENTRO CORRELIGIONARIO (27)",29,27,27,26,26
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,5,5,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",22,23,23,23,23
"CIUDADANOS A GOBERNAR (30)",9,9,9,9,8
"CONSERVADOR POPULAR (31)",11,10,10,10,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",8,8,8,8,6
"NUEVO PAIS (33)",30,32,-,85,150
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",53,51,52,50,59
"TERCERA POSICIÓN (35)",22,22,23,23,24
"UNIÓN CORRENTINA (37)",8,7,7,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",41,40,39,41,41
"UNIÓN PARA EL DESARROLLO (42)",8,7,7,7,8
"NORTE GRANDE (43)",15,12,12,13,14
"ACCIÓN POR LA REPÚBLICA (44)",12,12,12,12,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",272,248,247,253,252
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",11,9,9,9,9
"PARTIDO AGRARIO Y SOCIAL (49)",5,6,-,-,-
"SOCIALISTA (50)",20,17,17,17,18
"LIBERAL (51)",23,23,23,21,21
"AUTONOMISTA (52)",11,10,10,12,11
"DE LA VICTORIA (54)",17,14,14,15,-
"PROYECTO CORRIENTES (57)",18,18,-,22,20
"PRO - PROPUESTA REPUBLICANA (64)",28,28,27,26,25
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6,5,-
"NUEVO (90)",3,3,3,3,3
"POPULAR CORRENTINO (169)",78,73,73,69,71
"CRECER CON TODOS (170)",47,47,47,47,47
"UNIÓN CELESTE Y BLANCO (173)",30,30,-,32,-
"COMPROMISO CORRENTINO (175)",7,8,-,9,-
"KOLINA (192)",31,32,31,37,35
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,65,63
"Votos en Blanco",142,199,208,55,131
"Votos Nulos",34,24,25,23,24
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
