partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",36,33,35,35,35
"JUSTICIALISTA (2)",386,399,618,429,412
"UNIÓN CÍVICA RADICAL (3)",633,588,594,602,553
"MOVIMIENTO SIEMPRE CORRIENTES (4)",22,22,22,20,19
"DEMÓCRATA CRISTIANO (5)",12,12,13,16,16
"DE LA CONCERTACIÓN - FORJA (7)",46,46,46,46,44
"FEDERAL (8)",34,34,-,34,33
"DEMÓCRATA PROGRESISTA (9)",36,33,33,32,28
"RENOVADOR FEDERAL (10)",45,46,46,53,53
"LADRILLEROS UNIDOS (11)",47,44,44,45,42
"COMUNISTA (12)",10,10,-,11,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,13,13,13,14
"ACCIÓN POR CORRIENTES (14)",7,6,6,6,6
"UNIDOS POR CORRIENTES (15)",14,13,11,11,11
"LABORISTA AUTÓNOMO (17)",16,16,16,16,15
"ELI - ENCUENTRO LIBERAL (18)",157,161,149,152,157
"CAMBIO POPULAR (19)",53,54,54,59,59
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,0,0
"CONVOCATORIA POPULAR (21)",28,27,-,30,29
"FE (23)",0,0,0,2,2
"NUESTRA CAUSA (24)",15,15,16,17,17
"UNION POPULAR (25)",23,23,24,23,26
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,12,11,10,7
"ENCUENTRO CORRELIGIONARIO (27)",32,30,31,32,29
"CAMBIO AUSTERIDAD Y PROGRESO (28)",21,18,18,16,16
"DEL TRABAJO Y DEL PUEBLO (29)",15,15,15,15,17
"CIUDADANOS A GOBERNAR (30)",15,14,14,13,14
"CONSERVADOR POPULAR (31)",10,11,11,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",14,14,14,13,13
"NUEVO PAIS (33)",81,83,-,91,84
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,11,10,11
"TERCERA POSICIÓN (35)",4,4,4,7,6
"UNIÓN CORRENTINA (37)",13,13,13,13,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",29,29,28,26,27
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,13,13
"NORTE GRANDE (43)",25,23,23,24,22
"ACCIÓN POR LA REPÚBLICA (44)",10,10,10,10,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,1,-
"VAMOS CORRIENTES (46)",66,64,65,59,58
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,6,6,6,6
"PARTIDO AGRARIO Y SOCIAL (49)",4,5,-,5,5
"SOCIALISTA (50)",16,16,16,17,16
"LIBERAL (51)",60,58,58,59,58
"AUTONOMISTA (52)",156,142,145,173,177
"DE LA VICTORIA (54)",13,13,13,16,16
"PROYECTO CORRIENTES (57)",85,87,-,102,100
"PRO - PROPUESTA REPUBLICANA (64)",51,51,51,50,46
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,12,12,17,12
"NUEVO (90)",18,14,14,13,15
"POPULAR CORRENTINO (169)",93,83,84,79,85
"CRECER CON TODOS (170)",33,28,28,26,25
"UNIÓN CELESTE Y BLANCO (173)",28,29,-,31,31
"COMPROMISO CORRENTINO (175)",7,7,-,7,7
"KOLINA (192)",16,16,16,17,17
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,9,9
"Votos en Blanco",84,178,243,72,151
"Votos Nulos",41,21,21,21,21
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
