partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",58,58,58,58,57
"JUSTICIALISTA (2)",354,365,471,379,365
"UNIÓN CÍVICA RADICAL (3)",631,615,612,698,670
"MOVIMIENTO SIEMPRE CORRIENTES (4)",58,57,57,57,57
"DEMÓCRATA CRISTIANO (5)",45,45,45,46,46
"DE LA CONCERTACIÓN - FORJA (7)",56,53,53,54,51
"FEDERAL (8)",38,40,-,38,37
"DEMÓCRATA PROGRESISTA (9)",52,51,51,-,-
"RENOVADOR FEDERAL (10)",27,26,26,28,28
"LADRILLEROS UNIDOS (11)",64,63,63,64,63
"COMUNISTA (12)",6,6,-,6,6
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,14,14,16,16
"ACCIÓN POR CORRIENTES (14)",61,59,59,59,59
"UNIDOS POR CORRIENTES (15)",29,27,26,27,27
"LABORISTA AUTÓNOMO (17)",39,39,39,-,-
"ELI - ENCUENTRO LIBERAL (18)",232,222,223,224,223
"CAMBIO POPULAR (19)",34,36,36,35,36
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",11,11,-,11,11
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",9,10,10,10,9
"UNION POPULAR (25)",44,41,41,78,80
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",34,34,34,35,35
"ENCUENTRO CORRELIGIONARIO (27)",35,35,35,35,35
"CAMBIO AUSTERIDAD Y PROGRESO (28)",16,16,15,15,15
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,8,8,7
"CIUDADANOS A GOBERNAR (30)",26,26,26,26,26
"CONSERVADOR POPULAR (31)",15,14,14,14,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",28,27,27,28,31
"NUEVO PAIS (33)",6,6,-,6,7
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",50,50,46,-,-
"TERCERA POSICIÓN (35)",12,12,12,12,12
"UNIÓN CORRENTINA (37)",9,9,9,9,9
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,8,8,8,7
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,10
"NORTE GRANDE (43)",5,5,5,5,5
"ACCIÓN POR LA REPÚBLICA (44)",19,18,18,18,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,3,3
"VAMOS CORRIENTES (46)",12,11,11,11,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",63,62,62,62,62
"PARTIDO AGRARIO Y SOCIAL (49)",10,11,-,10,10
"SOCIALISTA (50)",17,17,17,18,18
"LIBERAL (51)",68,67,67,69,66
"AUTONOMISTA (52)",89,78,78,84,110
"DE LA VICTORIA (54)",7,7,7,7,7
"PROYECTO CORRIENTES (57)",9,8,-,10,10
"PRO - PROPUESTA REPUBLICANA (64)",35,35,35,35,32
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",26,26,26,26,28
"POPULAR CORRENTINO (169)",78,76,75,75,75
"CRECER CON TODOS (170)",49,49,49,52,52
"UNIÓN CELESTE Y BLANCO (173)",28,28,-,28,28
"COMPROMISO CORRENTINO (175)",6,6,-,7,7
"KOLINA (192)",14,14,14,15,14
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,15,14
"Votos en Blanco",60,110,131,78,106
"Votos Nulos",35,29,29,30,29
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
