partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",29,28,28,27,27
"JUSTICIALISTA (2)",67,68,221,78,72
"UNIÓN CÍVICA RADICAL (3)",441,421,418,366,364
"MOVIMIENTO SIEMPRE CORRIENTES (4)",35,34,32,30,30
"DEMÓCRATA CRISTIANO (5)",30,29,28,32,31
"DE LA CONCERTACIÓN - FORJA (7)",29,28,28,26,23
"FEDERAL (8)",9,9,-,9,9
"DEMÓCRATA PROGRESISTA (9)",20,17,17,15,16
"RENOVADOR FEDERAL (10)",26,25,28,33,33
"LADRILLEROS UNIDOS (11)",29,27,27,25,26
"COMUNISTA (12)",17,18,-,19,20
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,25,26,15,17
"ACCIÓN POR CORRIENTES (14)",6,6,6,5,5
"UNIDOS POR CORRIENTES (15)",21,21,21,19,19
"LABORISTA AUTÓNOMO (17)",17,16,16,14,14
"ELI - ENCUENTRO LIBERAL (18)",58,58,60,55,55
"CAMBIO POPULAR (19)",6,7,7,11,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-,14,13
"CONVOCATORIA POPULAR (21)",6,5,-,5,-
"FE (23)",1,1,1,2,-
"NUESTRA CAUSA (24)",7,6,6,10,9
"UNION POPULAR (25)",38,37,35,35,35
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,6,10,11
"ENCUENTRO CORRELIGIONARIO (27)",40,38,38,38,37
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,10,10,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",3,4,4,3,3
"CIUDADANOS A GOBERNAR (30)",25,22,23,20,21
"CONSERVADOR POPULAR (31)",11,10,11,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",23,23,21,20,20
"NUEVO PAIS (33)",13,13,-,22,21
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10,10,10
"TERCERA POSICIÓN (35)",4,4,5,6,-
"UNIÓN CORRENTINA (37)",17,18,17,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,20,18,17,17
"UNIÓN PARA EL DESARROLLO (42)",17,16,16,15,15
"NORTE GRANDE (43)",9,9,9,9,9
"ACCIÓN POR LA REPÚBLICA (44)",7,7,6,6,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-,10,8
"VAMOS CORRIENTES (46)",44,40,39,39,39
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",111,108,107,102,107
"PARTIDO AGRARIO Y SOCIAL (49)",34,36,-,44,41
"SOCIALISTA (50)",37,35,36,31,31
"LIBERAL (51)",52,48,46,43,44
"AUTONOMISTA (52)",47,46,46,45,46
"DE LA VICTORIA (54)",4,4,4,5,5
"PROYECTO CORRIENTES (57)",18,21,-,32,28
"PRO - PROPUESTA REPUBLICANA (64)",43,41,39,40,41
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,4,3,6,7
"NUEVO (90)",30,32,33,32,32
"POPULAR CORRENTINO (169)",68,67,66,64,65
"CRECER CON TODOS (170)",24,23,23,22,22
"UNIÓN CELESTE Y BLANCO (173)",24,24,-,28,26
"COMPROMISO CORRENTINO (175)",16,16,-,21,21
"KOLINA (192)",5,5,5,7,7
"INTEGRACIÓN CORRENTINA (36)",-,-,-,32,29
"NUEVA CORRIENTES (41)",-,-,-,12,12
"Votos en Blanco",40,89,105,78,106
"Votos Nulos",42,41,41,42,41
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
