partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",63,52,52,47,48
"JUSTICIALISTA (2)",104,101,231,114,112
"UNIÓN CÍVICA RADICAL (3)",832,790,773,687,682
"MOVIMIENTO SIEMPRE CORRIENTES (4)",62,56,54,52,51
"DEMÓCRATA CRISTIANO (5)",33,33,31,45,39
"DE LA CONCERTACIÓN - FORJA (7)",58,51,48,45,44
"FEDERAL (8)",27,27,-,41,36
"DEMÓCRATA PROGRESISTA (9)",59,58,54,52,54
"RENOVADOR FEDERAL (10)",22,21,23,34,26
"LADRILLEROS UNIDOS (11)",55,54,52,49,49
"COMUNISTA (12)",13,12,-,17,30
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,16,17,16,16
"ACCIÓN POR CORRIENTES (14)",39,37,38,37,36
"UNIDOS POR CORRIENTES (15)",47,45,45,42,40
"LABORISTA AUTÓNOMO (17)",40,37,38,38,37
"ELI - ENCUENTRO LIBERAL (18)",163,162,160,157,155
"CAMBIO POPULAR (19)",4,4,3,6,8
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,8,-,18,17
"CONVOCATORIA POPULAR (21)",12,13,-,13,-
"FE (23)",9,7,8,11,-
"NUESTRA CAUSA (24)",11,11,11,13,12
"UNION POPULAR (25)",45,40,42,44,45
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,10,10,15,13
"ENCUENTRO CORRELIGIONARIO (27)",68,64,63,54,56
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,11,10,10
"DEL TRABAJO Y DEL PUEBLO (29)",7,8,8,10,9
"CIUDADANOS A GOBERNAR (30)",40,39,39,38,39
"CONSERVADOR POPULAR (31)",15,14,13,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",29,27,26,23,22
"NUEVO PAIS (33)",26,26,-,32,29
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,15,15,16
"TERCERA POSICIÓN (35)",8,8,8,10,-
"UNIÓN CORRENTINA (37)",17,17,17,18,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,15,15,16,16
"UNIÓN PARA EL DESARROLLO (42)",11,10,10,9,9
"NORTE GRANDE (43)",6,5,5,4,4
"ACCIÓN POR LA REPÚBLICA (44)",28,29,28,27,28
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,3,-,7,3
"VAMOS CORRIENTES (46)",56,53,51,45,44
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",152,148,148,142,150
"PARTIDO AGRARIO Y SOCIAL (49)",9,10,-,11,12
"SOCIALISTA (50)",18,16,16,15,15
"LIBERAL (51)",79,74,80,71,72
"AUTONOMISTA (52)",72,71,80,66,66
"DE LA VICTORIA (54)",13,13,13,16,16
"PROYECTO CORRIENTES (57)",22,20,-,44,36
"PRO - PROPUESTA REPUBLICANA (64)",78,75,75,74,73
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,13,12,14,14
"NUEVO (90)",64,64,63,58,63
"POPULAR CORRENTINO (169)",83,77,76,71,74
"CRECER CON TODOS (170)",22,18,19,19,19
"UNIÓN CELESTE Y BLANCO (173)",14,15,-,23,33
"COMPROMISO CORRENTINO (175)",9,7,-,9,9
"KOLINA (192)",10,12,11,15,16
"INTEGRACIÓN CORRENTINA (36)",-,-,-,86,86
"NUEVA CORRIENTES (41)",-,-,-,6,6
"Votos en Blanco",101,227,254,184,228
"Votos Nulos",55,53,56,54,52
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
