partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",10,8,8,7,8
"JUSTICIALISTA (2)",323,323,372,350,340
"UNIÓN CÍVICA RADICAL (3)",565,533,534,520,508
"MOVIMIENTO SIEMPRE CORRIENTES (4)",274,267,268,287,280
"DEMÓCRATA CRISTIANO (5)",14,14,14,14,14
"DE LA CONCERTACIÓN - FORJA (7)",4,3,3,3,3
"FEDERAL (8)",18,18,-,18,17
"DEMÓCRATA PROGRESISTA (9)",11,12,9,9,9
"RENOVADOR FEDERAL (10)",586,620,629,751,687
"LADRILLEROS UNIDOS (11)",11,9,10,10,10
"COMUNISTA (12)",5,5,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,10,10,10,10
"ACCIÓN POR CORRIENTES (14)",207,195,192,189,202
"UNIDOS POR CORRIENTES (15)",14,13,13,13,10
"LABORISTA AUTÓNOMO (17)",7,7,7,7,7
"ELI - ENCUENTRO LIBERAL (18)",43,44,44,24,26
"CAMBIO POPULAR (19)",4,3,3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,6,6
"CONVOCATORIA POPULAR (21)",10,10,-,10,10
"FE (23)",5,5,4,5,6
"NUESTRA CAUSA (24)",6,6,6,8,8
"UNION POPULAR (25)",68,61,60,66,73
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",17,16,16,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",20,17,17,18,17
"DEL TRABAJO Y DEL PUEBLO (29)",6,6,6,6,6
"CIUDADANOS A GOBERNAR (30)",5,4,4,4,4
"CONSERVADOR POPULAR (31)",7,7,7,6,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,10,10,7,5
"NUEVO PAIS (33)",6,6,-,7,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,6,5,6,7
"TERCERA POSICIÓN (35)",10,10,9,-,-
"UNIÓN CORRENTINA (37)",14,14,14,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14,14,14
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,10
"NORTE GRANDE (43)",23,22,22,22,23
"ACCIÓN POR LA REPÚBLICA (44)",5,4,4,4,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,1,1
"VAMOS CORRIENTES (46)",16,15,15,14,14
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,11,11,11,12
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",11,11,11,12,11
"LIBERAL (51)",37,31,30,26,30
"AUTONOMISTA (52)",4,4,4,4,4
"DE LA VICTORIA (54)",14,14,14,15,16
"PROYECTO CORRIENTES (57)",0,0,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",52,45,45,41,41
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,6,6
"NUEVO (90)",30,25,25,12,15
"POPULAR CORRENTINO (169)",25,24,25,15,18
"CRECER CON TODOS (170)",9,9,8,8,8
"UNIÓN CELESTE Y BLANCO (173)",16,16,-,17,16
"COMPROMISO CORRENTINO (175)",2,2,-,2,2
"KOLINA (192)",31,32,25,34,33
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",97,165,186,63,127
"Votos Nulos",22,13,13,13,13
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
