partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",5,5,5,4,4
"JUSTICIALISTA (2)",34,35,73,-,-
"UNIÓN CÍVICA RADICAL (3)",108,102,102,109,103
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,2,2,2,1
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5,7,7
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",4,4,4,4,4
"RENOVADOR FEDERAL (10)",0,0,0,-,-
"LADRILLEROS UNIDOS (11)",22,23,23,23,24
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",6,6,6,6,4
"UNIDOS POR CORRIENTES (15)",9,9,9,9,10
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",87,87,86,91,96
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",1,1,1,-,-
"UNION POPULAR (25)",53,51,51,52,51
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",3,3,3,5,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12,16,19
"DEL TRABAJO Y DEL PUEBLO (29)",4,3,3,-,-
"CIUDADANOS A GOBERNAR (30)",7,6,6,9,8
"CONSERVADOR POPULAR (31)",10,10,5,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",50,47,48,44,36
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,1,1
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",2,2,2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,-,-
"UNIÓN PARA EL DESARROLLO (42)",6,5,5,5,6
"NORTE GRANDE (43)",2,3,3,-,-
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21,20,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",4,4,4,5,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,13,13,11,11
"PARTIDO AGRARIO Y SOCIAL (49)",34,34,-,-,-
"SOCIALISTA (50)",2,2,2,3,2
"LIBERAL (51)",493,490,499,522,487
"AUTONOMISTA (52)",86,83,85,83,90
"DE LA VICTORIA (54)",2,2,2,-,-
"PROYECTO CORRIENTES (57)",0,1,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",44,42,42,42,39
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",84,80,80,86,95
"POPULAR CORRENTINO (169)",331,326,327,382,366
"CRECER CON TODOS (170)",8,7,7,28,31
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",40,76,69,37,88
"Votos Nulos",16,6,6,6,6
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
