partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",96,98,98,100,100
"JUSTICIALISTA (2)",114,106,213,110,100
"UNIÓN CÍVICA RADICAL (3)",293,285,284,274,267
"MOVIMIENTO SIEMPRE CORRIENTES (4)",70,67,67,73,71
"DEMÓCRATA CRISTIANO (5)",53,52,53,57,59
"DE LA CONCERTACIÓN - FORJA (7)",73,66,64,67,63
"FEDERAL (8)",5,5,-,7,5
"DEMÓCRATA PROGRESISTA (9)",45,46,44,46,46
"RENOVADOR FEDERAL (10)",36,36,36,33,32
"LADRILLEROS UNIDOS (11)",62,59,59,56,56
"COMUNISTA (12)",23,22,-,23,23
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,10,10,9,12
"ACCIÓN POR CORRIENTES (14)",72,69,69,70,66
"UNIDOS POR CORRIENTES (15)",68,68,68,65,63
"LABORISTA AUTÓNOMO (17)",20,19,19,21,20
"ELI - ENCUENTRO LIBERAL (18)",104,98,100,99,98
"CAMBIO POPULAR (19)",21,21,21,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",17,18,-,19,19
"CONVOCATORIA POPULAR (21)",21,21,-,21,21
"FE (23)",6,6,6,-,-
"NUESTRA CAUSA (24)",12,12,12,13,13
"UNION POPULAR (25)",119,101,99,109,111
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,11,11,5,5
"ENCUENTRO CORRELIGIONARIO (27)",59,58,55,56,56
"CAMBIO AUSTERIDAD Y PROGRESO (28)",20,20,20,20,20
"DEL TRABAJO Y DEL PUEBLO (29)",21,21,21,21,19
"CIUDADANOS A GOBERNAR (30)",58,55,55,58,57
"CONSERVADOR POPULAR (31)",20,20,20,20,20
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",60,57,59,56,56
"NUEVO PAIS (33)",14,13,-,15,13
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,21,21,23,21
"TERCERA POSICIÓN (35)",4,4,4,-,-
"UNIÓN CORRENTINA (37)",21,22,20,20,20
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",44,42,42,37,37
"UNIÓN PARA EL DESARROLLO (42)",47,46,47,47,47
"NORTE GRANDE (43)",13,13,13,13,12
"ACCIÓN POR LA REPÚBLICA (44)",92,87,89,94,93
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",27,27,-,32,32
"VAMOS CORRIENTES (46)",50,48,48,41,41
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",66,62,62,59,59
"PARTIDO AGRARIO Y SOCIAL (49)",21,22,-,30,23
"SOCIALISTA (50)",19,15,16,18,19
"LIBERAL (51)",128,124,129,126,126
"AUTONOMISTA (52)",54,53,58,57,56
"DE LA VICTORIA (54)",8,8,8,10,10
"PROYECTO CORRIENTES (57)",24,24,-,26,25
"PRO - PROPUESTA REPUBLICANA (64)",250,239,240,249,247
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,7,8,8,8
"NUEVO (90)",35,34,35,32,33
"POPULAR CORRENTINO (169)",181,174,174,165,172
"CRECER CON TODOS (170)",18,18,18,18,18
"UNIÓN CELESTE Y BLANCO (173)",29,30,-,32,33
"COMPROMISO CORRENTINO (175)",25,25,-,27,28
"KOLINA (192)",22,21,18,17,17
"Votos en Blanco",130,264,357,264,300
"Votos Nulos",54,20,20,22,22
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
