partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",113,110,111
"JUSTICIALISTA (2)",95,92,150
"UNIÓN CÍVICA RADICAL (3)",329,318,318
"MOVIMIENTO SIEMPRE CORRIENTES (4)",73,71,71
"DEMÓCRATA CRISTIANO (5)",22,22,22
"DE LA CONCERTACIÓN - FORJA (7)",119,112,117
"FEDERAL (8)",9,9,-
"DEMÓCRATA PROGRESISTA (9)",83,83,77
"RENOVADOR FEDERAL (10)",24,24,24
"LADRILLEROS UNIDOS (11)",34,34,34
"COMUNISTA (12)",8,7,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,9,9
"ACCIÓN POR CORRIENTES (14)",21,20,20
"UNIDOS POR CORRIENTES (15)",60,59,59
"LABORISTA AUTÓNOMO (17)",25,25,25
"ELI - ENCUENTRO LIBERAL (18)",76,75,75
"CAMBIO POPULAR (19)",10,10,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",6,7,-
"FE (23)",16,16,16
"NUESTRA CAUSA (24)",14,14,14
"UNION POPULAR (25)",67,66,66
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,6
"ENCUENTRO CORRELIGIONARIO (27)",71,69,67
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,20,22
"DEL TRABAJO Y DEL PUEBLO (29)",9,8,8
"CIUDADANOS A GOBERNAR (30)",38,39,39
"CONSERVADOR POPULAR (31)",28,25,25
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,32,32
"NUEVO PAIS (33)",10,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",25,25,25
"TERCERA POSICIÓN (35)",1,1,1
"UNIÓN CORRENTINA (37)",22,20,20
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18
"UNIÓN PARA EL DESARROLLO (42)",36,35,35
"NORTE GRANDE (43)",14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",63,62,62
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",138,137,137
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",18,18,18
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-
"SOCIALISTA (50)",15,15,15
"LIBERAL (51)",51,50,50
"AUTONOMISTA (52)",28,28,28
"DE LA VICTORIA (54)",5,5,5
"PROYECTO CORRIENTES (57)",4,4,-
"PRO - PROPUESTA REPUBLICANA (64)",128,125,124
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4
"NUEVO (90)",23,20,20
"POPULAR CORRENTINO (169)",76,71,73
"CRECER CON TODOS (170)",54,53,53
"UNIÓN CELESTE Y BLANCO (173)",18,18,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",22,22,20
"Votos en Blanco",38,102,116
"Votos Nulos",49,42,42
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
