partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",37,35,35,31,33
"JUSTICIALISTA (2)",65,70,193,86,79
"UNIÓN CÍVICA RADICAL (3)",322,310,308,251,255
"MOVIMIENTO SIEMPRE CORRIENTES (4)",40,36,35,34,34
"DEMÓCRATA CRISTIANO (5)",27,28,29,30,33
"DE LA CONCERTACIÓN - FORJA (7)",18,18,17,17,17
"FEDERAL (8)",8,8,-,12,11
"DEMÓCRATA PROGRESISTA (9)",27,25,26,22,23
"RENOVADOR FEDERAL (10)",23,24,24,25,26
"LADRILLEROS UNIDOS (11)",19,19,19,18,18
"COMUNISTA (12)",10,10,-,12,17
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,1,1
"ACCIÓN POR CORRIENTES (14)",7,7,7,6,6
"UNIDOS POR CORRIENTES (15)",37,36,33,33,33
"LABORISTA AUTÓNOMO (17)",13,13,13,13,12
"ELI - ENCUENTRO LIBERAL (18)",64,62,62,64,61
"CAMBIO POPULAR (19)",10,10,10,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-,11,11
"CONVOCATORIA POPULAR (21)",9,9,-,11,-
"FE (23)",8,8,8,9,-
"NUESTRA CAUSA (24)",3,3,2,5,5
"UNION POPULAR (25)",37,36,36,36,36
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,19,19,21,20
"ENCUENTRO CORRELIGIONARIO (27)",32,29,29,28,27
"CAMBIO AUSTERIDAD Y PROGRESO (28)",16,14,14,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,8,7
"CIUDADANOS A GOBERNAR (30)",13,13,13,11,12
"CONSERVADOR POPULAR (31)",6,6,6,5,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",18,15,17,16,15
"NUEVO PAIS (33)",16,17,-,22,21
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,12,12,12,11
"TERCERA POSICIÓN (35)",1,0,0,0,-
"UNIÓN CORRENTINA (37)",29,28,28,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18,17,17
"UNIÓN PARA EL DESARROLLO (42)",21,19,19,17,17
"NORTE GRANDE (43)",13,13,14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",7,7,6,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-,9,7
"VAMOS CORRIENTES (46)",27,27,27,28,26
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",46,44,45,45,44
"PARTIDO AGRARIO Y SOCIAL (49)",11,15,-,19,17
"SOCIALISTA (50)",10,10,10,10,10
"LIBERAL (51)",27,28,29,26,27
"AUTONOMISTA (52)",45,43,44,41,40
"DE LA VICTORIA (54)",21,22,20,22,21
"PROYECTO CORRIENTES (57)",13,12,-,19,16
"PRO - PROPUESTA REPUBLICANA (64)",15,16,17,17,17
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,7,9,9,8
"NUEVO (90)",33,33,32,27,27
"POPULAR CORRENTINO (169)",90,84,86,81,80
"CRECER CON TODOS (170)",13,12,12,12,12
"UNIÓN CELESTE Y BLANCO (173)",13,15,-,22,23
"COMPROMISO CORRENTINO (175)",20,20,-,28,28
"KOLINA (192)",11,12,12,13,13
"INTEGRACIÓN CORRENTINA (36)",-,-,-,36,35
"NUEVA CORRIENTES (41)",-,-,-,2,3
"Votos en Blanco",106,140,136,123,155
"Votos Nulos",29,23,24,23,23
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
