partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",80,70,69,68,67
"JUSTICIALISTA (2)",116,119,309,133,126
"UNIÓN CÍVICA RADICAL (3)",571,538,543,442,436
"MOVIMIENTO SIEMPRE CORRIENTES (4)",54,50,51,51,50
"DEMÓCRATA CRISTIANO (5)",23,23,23,31,30
"DE LA CONCERTACIÓN - FORJA (7)",38,38,36,32,32
"FEDERAL (8)",39,39,-,46,42
"DEMÓCRATA PROGRESISTA (9)",31,28,27,25,25
"RENOVADOR FEDERAL (10)",41,41,44,52,49
"LADRILLEROS UNIDOS (11)",41,38,38,33,33
"COMUNISTA (12)",14,14,-,15,22
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,13,14,10,9
"ACCIÓN POR CORRIENTES (14)",17,17,17,17,17
"UNIDOS POR CORRIENTES (15)",40,39,38,35,35
"LABORISTA AUTÓNOMO (17)",20,20,20,20,19
"ELI - ENCUENTRO LIBERAL (18)",78,73,75,70,70
"CAMBIO POPULAR (19)",15,15,16,21,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,10,-,13,13
"CONVOCATORIA POPULAR (21)",8,8,-,9,-
"FE (23)",11,11,12,15,-
"NUESTRA CAUSA (24)",7,7,7,9,9
"UNION POPULAR (25)",38,37,39,36,37
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,13,13,17,16
"ENCUENTRO CORRELIGIONARIO (27)",28,28,27,25,27
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,12,11,11,11
"DEL TRABAJO Y DEL PUEBLO (29)",15,15,15,19,18
"CIUDADANOS A GOBERNAR (30)",51,50,50,50,49
"CONSERVADOR POPULAR (31)",11,11,11,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",25,24,24,22,23
"NUEVO PAIS (33)",18,20,-,31,31
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",39,38,38,35,35
"TERCERA POSICIÓN (35)",7,7,6,6,-
"UNIÓN CORRENTINA (37)",16,16,16,15,15
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,14,14,14
"UNIÓN PARA EL DESARROLLO (42)",18,18,18,16,16
"NORTE GRANDE (43)",18,18,18,16,16
"ACCIÓN POR LA REPÚBLICA (44)",15,15,15,12,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-,18,17
"VAMOS CORRIENTES (46)",48,45,45,43,43
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",107,97,95,95,97
"PARTIDO AGRARIO Y SOCIAL (49)",36,39,-,48,43
"SOCIALISTA (50)",26,26,24,25,25
"LIBERAL (51)",60,59,59,56,55
"AUTONOMISTA (52)",64,64,62,58,55
"DE LA VICTORIA (54)",22,21,21,25,25
"PROYECTO CORRIENTES (57)",29,29,-,53,50
"PRO - PROPUESTA REPUBLICANA (64)",65,63,50,58,57
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,19,18,21,22
"NUEVO (90)",83,80,78,71,76
"POPULAR CORRENTINO (169)",135,120,120,110,115
"CRECER CON TODOS (170)",38,32,32,29,29
"UNIÓN CELESTE Y BLANCO (173)",28,29,-,47,42
"COMPROMISO CORRENTINO (175)",38,38,-,42,40
"KOLINA (192)",22,23,23,27,24
"INTEGRACIÓN CORRENTINA (36)",-,-,-,84,82
"NUEVA CORRIENTES (41)",-,-,-,6,6
"Votos en Blanco",89,213,277,159,220
"Votos Nulos",67,35,35,35,35
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
