partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",37,35,35,34,33
"JUSTICIALISTA (2)",354,395,624,438,524
"UNIÓN CÍVICA RADICAL (3)",491,471,473,468,464
"MOVIMIENTO SIEMPRE CORRIENTES (4)",18,16,16,15,16
"DEMÓCRATA CRISTIANO (5)",14,13,13,21,33
"DE LA CONCERTACIÓN - FORJA (7)",20,19,19,19,19
"FEDERAL (8)",39,40,-,51,-
"DEMÓCRATA PROGRESISTA (9)",7,6,6,6,6
"RENOVADOR FEDERAL (10)",101,106,109,114,-
"LADRILLEROS UNIDOS (11)",8,4,4,4,4
"COMUNISTA (12)",27,27,-,36,36
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",34,38,39,40,38
"ACCIÓN POR CORRIENTES (14)",57,55,55,56,55
"UNIDOS POR CORRIENTES (15)",26,26,26,25,25
"LABORISTA AUTÓNOMO (17)",21,20,20,20,20
"ELI - ENCUENTRO LIBERAL (18)",32,28,27,28,30
"CAMBIO POPULAR (19)",1,1,1,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",30,30,-,25,-
"CONVOCATORIA POPULAR (21)",9,9,-,12,22
"FE (23)",3,4,4,4,6
"NUESTRA CAUSA (24)",22,26,26,28,-
"UNION POPULAR (25)",6,6,6,6,6
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",46,46,46,-,44
"ENCUENTRO CORRELIGIONARIO (27)",23,22,22,23,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,5,5,5,6
"DEL TRABAJO Y DEL PUEBLO (29)",18,18,18,20,21
"CIUDADANOS A GOBERNAR (30)",26,24,23,24,23
"CONSERVADOR POPULAR (31)",10,10,10,10,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,12,12,12,12
"NUEVO PAIS (33)",15,16,-,89,120
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",46,43,41,41,41
"TERCERA POSICIÓN (35)",19,20,20,21,19
"UNIÓN CORRENTINA (37)",12,11,11,11,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",51,46,46,48,43
"UNIÓN PARA EL DESARROLLO (42)",11,11,11,11,11
"NORTE GRANDE (43)",16,13,13,13,12
"ACCIÓN POR LA REPÚBLICA (44)",14,13,13,14,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",308,273,270,278,270
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",14,13,13,13,12
"PARTIDO AGRARIO Y SOCIAL (49)",21,21,-,-,-
"SOCIALISTA (50)",9,9,8,8,8
"LIBERAL (51)",54,50,49,49,51
"AUTONOMISTA (52)",26,24,24,23,24
"DE LA VICTORIA (54)",17,17,18,19,-
"PROYECTO CORRIENTES (57)",38,39,-,48,46
"PRO - PROPUESTA REPUBLICANA (64)",50,46,45,45,45
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",16,16,16,18,-
"NUEVO (90)",0,0,0,0,0
"POPULAR CORRENTINO (169)",89,82,82,80,81
"CRECER CON TODOS (170)",60,58,58,54,58
"UNIÓN CELESTE Y BLANCO (173)",39,39,-,36,-
"COMPROMISO CORRENTINO (175)",14,14,-,15,-
"KOLINA (192)",13,14,14,14,13
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,42,41
"Votos en Blanco",120,184,193,52,191
"Votos Nulos",60,46,46,47,47
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
