nombre,rango,cantidad,sobres,electores,votantes,estado
"ESC- Nº 3 ""DEL CENTENARIO""","1 a 11",11,2725,3850,2726,Finalizado
"ESC- Nº 2 ""DOMINGO F- SARMIENTO""","12 a 21",10,2418,3500,2420,Finalizado
"ESC- Nº 10 ""R- DE ESCALADA DE SAN MARTÍN""","22 a 26",5,1156,1658,1156,Finalizado
"ESC- Nº 402 ""GENARO BERÓN DE ASTRADA""","27 a 32",6,1537,2100,1537,Finalizado
"COLEGIO POLIMODAL ""IBERÁ""","33 a 42",10,2574,3500,2574,Finalizado
"ESC- Nº 9 ""GUSTAVO SOLANO GÓMEZ""","43 a 51",9,2289,3150,2289,Finalizado
"ESC- Nº 11 ""DR- LISANDRO SEGOVIA""","52 a 58",7,1742,2370,1742,Finalizado
"ESC- Nº 290 ""DR- JUAN R- VIDAL""","59 a 73",15,3959,5250,3959,Finalizado
"ESC- Nº 850 ""GDOR- JOSÉ M- DE LLANO""","74 a 88",15,4008,5250,4008,Finalizado
"ESC- Nº 291 ""DR- EUDORO VARGAS GÓMEZ""","89 a 99",11,2808,3850,2808,Finalizado
"ESC- Nº 299 ""JUAN ALFREDO ASUAD""","100 a 110",11,2620,3524,2620,Finalizado
"COLEGIO ""GRAL- SAN MARTÍN""","111 a 120",10,2477,3500,2477,Finalizado
"ESC- Nº 4 ""MARIANO MORENO""","121 a 125",5,1043,1492,1043,Finalizado
"ESCUELA NORMAL ""DR- JUAN PUJOL""","126 a 137",12,2902,4200,2903,Finalizado
"ESC- Nº 1 ""MANUEL BELGRANO""","138 a 147",10,2420,3481,2420,Finalizado
"ESC- TÉCNICA Nº 2 ""BERNARDINO RIVADAVIA""","148 a 157",10,2458,3500,2458,Finalizado
"ESC- TÉCNICA Nº 1 ""JUANA MANSO""","158 a 170",13,3208,4550,3207,Finalizado
"ESC- Nº 607 ""BERNARDINO RIVADAVIA""","171 a 183",13,3271,4550,3271,Finalizado
"ESC- Nº 7 ""ISABEL E- VERA""","184 a 195",12,2986,4143,2986,Finalizado
"ESC- Nº 275 ""ISIDRO E- MOREIRA""","196 a 206",11,2849,3850,2849,Finalizado
"ESC- Nº 146 ""CRUCERO GRAL- BELGRANO""","207 a 218",12,3052,4200,3052,Finalizado
"ESC- Nº 345 ""FRANCISCO REGIS ORTIZ""","219 a 228",10,2621,3500,2621,Finalizado
"ESC- COMERCIAL ""PTE- DR- ARTURO U- ILLIA""","229 a 240",12,3144,4200,3142,Finalizado
"ESC- Nº 956 ""N- SRA- DE LA MEDALLA MILAGROSA""","241 a 250",10,2589,3500,2589,Finalizado
"ESC- Nº 139 ""AMBROSIO DE ACOSTA""","251 a 262",12,3119,4200,3119,Finalizado
"COL- POLIM- ""CAUTIVAS CORRENTINAS""","263 a 274",12,3161,4200,3160,Finalizado
"ESC- Nº 368 ""MAESTROS CORRENTINOS""","275 a 284",10,2569,3500,2569,Finalizado
"COL- SEC- ""FRAY JOSÉ DE LA QUINTANA""","285 a 297",13,3343,4550,3343,Finalizado
"ESC- SECUNDARIA ""DR- JOSÉ FCO- SOLER""","298 a 309",12,3130,4200,3130,Finalizado
"ESC- Nº 666 ""PEDRO BENJAMÍN SERRANO""","310 a 319",10,2571,3500,2571,Finalizado
"COL- SEC- ""FERNANDO PIRAGINE NIVEYRO""","320 a 327",8,1903,2638,1905,Finalizado
