,nombre,nombre_limpio
0,"ESC- Nº 3 ""DEL CENTENARIO""",Escuela Nº 3 DEL CENTENARIO
1,"ESC- Nº 2 ""DOMINGO F- SARMIENTO""",Escuela Nº 2 DOMINGO F SARMIENTO
2,"ESC- Nº 10 ""R- DE ESCALADA DE SAN MARTÍN""",Escuela Nº 10 R DE ESCALADA DE SAN MARTÍN
3,"ESC- Nº 402 ""GENARO BERÓN DE ASTRADA""",Escuela Nº 402 GENARO BERÓN DE ASTRADA
4,"COLEGIO POLIMODAL ""IBERÁ""",COLEGIO POLIMODAL IBERÁ
5,"ESC- Nº 9 ""GUSTAVO SOLANO GÓMEZ""",Escuela Nº 9 GUSTAVO SOLANO GÓMEZ
6,"ESC- Nº 11 ""DR- LISANDRO SEGOVIA""",Escuela Nº 11 Doctor LISANDRO SEGOVIA
7,"ESC- Nº 290 ""DR- JUAN R- VIDAL""",Escuela Nº 290 Doctor JUAN R VIDAL
8,"ESC- Nº 850 ""GDOR- JOSÉ M- DE LLANO""",Escuela Nº 850 Gobernador JOSÉ M DE LLANO
9,"ESC- Nº 291 ""DR- EUDORO VARGAS GÓMEZ""",Escuela Nº 291 Doctor EUDORO VARGAS GÓMEZ
10,"ESC- Nº 299 ""JUAN ALFREDO ASUAD""",Escuela Nº 299 JUAN ALFREDO ASUAD
11,"COLEGIO ""GRAL- SAN MARTÍN""",COLEGIO General SAN MARTÍN
12,"ESC- Nº 4 ""MARIANO MORENO""",Escuela Nº 4 MARIANO MORENO
13,"ESCUELA NORMAL ""DR- JUAN PUJOL""",ESCUELA NORMAL Doctor JUAN PUJOL
14,"ESC- Nº 1 ""MANUEL BELGRANO""",Escuela Nº 1 MANUEL BELGRANO
15,"ESC- TÉCNICA Nº 2 ""BERNARDINO RIVADAVIA""",Escuela TÉCNICA Nº 2 BERNARDINO RIVADAVIA
16,"ESC- TÉCNICA Nº 1 ""JUANA MANSO""",Escuela TÉCNICA Nº 1 JUANA MANSO
17,"ESC- Nº 607 ""BERNARDINO RIVADAVIA""",Escuela Nº 607 BERNARDINO RIVADAVIA
18,"ESC- Nº 7 ""ISABEL E- VERA""",Escuela Nº 7 ISABEL E VERA
19,"ESC- Nº 275 ""ISIDRO E- MOREIRA""",Escuela Nº 275 ISIDRO E MOREIRA
20,"ESC- Nº 146 ""CRUCERO GRAL- BELGRANO""",Escuela Nº 146 CRUCERO General BELGRANO
21,"ESC- Nº 345 ""FRANCISCO REGIS ORTIZ""",Escuela Nº 345 FRANCISCO REGIS ORTIZ
22,"ESC- COMERCIAL ""PTE- DR- ARTURO U- ILLIA""",Escuela COMERCIAL PTE Doctor ARTURO U ILLIA
23,"ESC- Nº 956 ""N- SRA- DE LA MEDALLA MILAGROSA""",Escuela Nº 956 N SRA DE LA MEDALLA MILAGROSA
24,"ESC- Nº 139 ""AMBROSIO DE ACOSTA""",Escuela Nº 139 AMBROSIO DE ACOSTA
25,"COL- POLIM- ""CAUTIVAS CORRENTINAS""",Colegio Polimodal CAUTIVAS CORRENTINAS
26,"ESC- Nº 368 ""MAESTROS CORRENTINOS""",Escuela Nº 368 MAESTROS CORRENTINOS
27,"COL- SEC- ""FRAY JOSÉ DE LA QUINTANA""",Colegio SEC FRAY JOSÉ DE LA QUINTANA
28,"ESC- SECUNDARIA ""DR- JOSÉ FCO- SOLER""",Escuela SECUNDARIA Doctor JOSÉ FCO SOLER
29,"ESC- Nº 666 ""PEDRO BENJAMÍN SERRANO""",Escuela Nº 666 PEDRO BENJAMÍN SERRANO
30,"COL- SEC- ""FERNANDO PIRAGINE NIVEYRO""",Colegio SEC FERNANDO PIRAGINE NIVEYRO
31,"ESC- Nº 353 ""DR- FÉLIX MARÍA GÓMEZ""",Escuela Nº 353 Doctor FÉLIX MARÍA GÓMEZ
32,"COLEGIO ""MANUEL VICENTE FIGUERERO""",COLEGIO MANUEL VICENTE FIGUERERO
33,"ESC- Nº 34 ""EL SANTO DE LA ESPADA""",Escuela Nº 34 EL SANTO DE LA ESPADA
34,"ESC- Nº 404 ""DR- EDUARDO WILDE""",Escuela Nº 404 Doctor EDUARDO WILDE
35,"ESC- COMERCIAL ""DR- LUIS FEDERICO LELOIR""",Escuela COMERCIAL Doctor LUIS FEDERICO LELOIR
36,"INST- CENTRO DE EDUC- FÍSICA Nº 1 ""PROF- E- J- ROBLES""",Instituto CENTRO DE EDUC FÍSICA Nº 1 PROF E J ROBLES
37,ESCUELA TECNICA U-O-C-R-A-,ESCUELA TECNICA UOCRA
38,"CDI ""RAYITO DE LUZ""",CDI RAYITO DE LUZ
39,"CDI ""GRILLITO SALTARIN""",CDI GRILLITO SALTARIN
40,"CDI ""ARA PORA""",CDI ARA PORA
41,"ESC- Nº 444 ""SALVADOR MARÍA DÍAZ""",Escuela Nº 444 SALVADOR MARÍA DÍAZ
42,"ESC- ESPECIAL Nº 1 ""DRA- CAROLINA TOBAR GARCÍA""",Escuela ESPECIAL Nº 1 DRA CAROLINA TOBAR GARCÍA
43,"COL- POLIMODAL ""OLGA COSSETTINI""",Colegio POLIMODAL OLGA COSSETTINI
44,"ESC- Nº 258 ""RCA-DEL PARAGUAY""",Escuela Nº 258 RCADEL PARAGUAY
45,COL- SECUNDARIO DEL BARRIO ONGAY (IRUPÉ),Colegio SECUNDARIO DEL BARRIO ONGAY IRUPÉ
46,"ESC- NORMAL ""JOSÉ MANUEL ESTRADA""",Escuela NORMAL JOSÉ MANUEL ESTRADA
47,"ESC- Nº 808 ""DR- VICTORIANO E- MONTES""",Escuela Nº 808 Doctor VICTORIANO E MONTES
48,"ESCUELA Nº 6 ""PUBLIO ESCOBAR""",ESCUELA Nº 6 PUBLIO ESCOBAR
49,"ESC- TÉCNICA ""BRIG- PEDRO FERRÉ""",Escuela TÉCNICA BRIG PEDRO FERRÉ
50,"COL- POLIMODAL ""BRIG- GRAL- PEDRO FERRÉ""",Colegio POLIMODAL BRIG General PEDRO FERRÉ
51,"ESC- Nº 12 ""ALTE- BROWN""",Escuela Nº 12 ALTE BROWN
52,ANEXO HOGAR ESCUELA,ANEXO HOGAR ESCUELA
53,"ESC- Nº 157 ""TERCERA ORDEN S- F- DE ASIS""",Escuela Nº 157 TERCERA ORDEN S F DE ASIS
54,"ESC- Nº 8 ""JUAN BAUTISTA ALBERDI""",Escuela Nº 8 JUAN BAUTISTA ALBERDI
55,"ESC- Nº 293 ""TTE- GRAL- DONATO ÁLVAREZ""",Escuela Nº 293 Teniente General DONATO ÁLVAREZ
56,"ESC- Nº 430 ""PROVINCIA DE SALTA""",Escuela Nº 430 PROVINCIA DE SALTA
57,"ESC- Nº 5 ""ESPAÑA""",Escuela Nº 5 ESPAÑA
58,"ESC- Nº 14 ""DEL SESQUICENTENARIO""",Escuela Nº 14 DEL SESQUICENTENARIO
59,"ESC- Nº 158 ""COLEGIO ARGENTINO""",Escuela Nº 158 COLEGIO ARGENTINO
60,"ESC- Nº 296 ""PROF- MANUEL CABRAL (H)""",Escuela Nº 296 PROF MANUEL CABRAL H
61,"COL- SECUNDARIO ""AGOP SEFERIAN""",Colegio SECUNDARIO AGOP SEFERIAN
62,"COL- SEC- ""EDGAR ROMERO MACIEL""",Colegio SEC EDGAR ROMERO MACIEL
63,"COL- SEC- ""PTE- DR- RAÚL R- ALFONSÍN""",Colegio SEC PTE Doctor RAÚL R ALFONSÍN
64,"ESC- Nº 323 ""ISLAS MALVINAS""",Escuela Nº 323 ISLAS MALVINAS
65,"COL- POLIMODAL ""PTE- DR- ARTURO FRONDIZI""",Colegio POLIMODAL PTE Doctor ARTURO FRONDIZI
66,"ESC- Nº 371 ""GRAL- TORIBIO DE LUZURIAGA""",Escuela Nº 371 General TORIBIO DE LUZURIAGA
67,"ESC- Nº 606 ""PROV- DE BUENOS AIRES""",Escuela Nº 606 PROV DE BUENOS AIRES
68,COL- SECUNDARIO DEL B° APIPE,Colegio SECUNDARIO DEL B APIPE
69,"ESC- Nº 955 ""LIBERTADOR DE AMÉRICA""",Escuela Nº 955 LIBERTADOR DE AMÉRICA
70,"COL- POLIMODAL ""DR- ELOY ORTEGA""",Colegio POLIMODAL Doctor ELOY ORTEGA
71,"ESC- Nº 369 ""MAESTRO CÉSAR R- TELECHEA""",Escuela Nº 369 MAESTRO CÉSAR R TELECHEA
72,"ESC- TÉCNICA ""FRAY LUIS BELTRÁN""",Escuela TÉCNICA FRAY LUIS BELTRÁN
73,"COLEGIO SECUNDARIO ""J-M-PONCE""",COLEGIO SECUNDARIO JMPONCE
74,"ESC- Nº 599 ""DR- A- CONTTE""",Escuela Nº 599 Doctor A CONTTE
75,"ESC- Nº 443 ""GRAL- JOAQUÍN MADARIAGA""",Escuela Nº 443 General JOAQUÍN MADARIAGA
76,"ESC- Nº 439 ""NIÑAS DE AYOHUMA""",Escuela Nº 439 NIÑAS DE AYOHUMA
77,"COL- POLIMODAL ""DR- RENÉ FAVALORO""",Colegio POLIMODAL Doctor RENÉ FAVALORO
78,"ESC- Nº 957 ""JUAN RAMÓN FERNÁNDEZ""",Escuela Nº 957 JUAN RAMÓN FERNÁNDEZ
79,"COL- SECUNDARIO ""JUANA F-CABRAL""",Colegio SECUNDARIO JUANA FCABRAL
80,"ESC- Nº 356 ""JORGE LUIS BORGES""",Escuela Nº 356 JORGE LUIS BORGES
81,"ESC- Nº 403 ""BARTOLOMÉ MITRE""",Escuela Nº 403 BARTOLOMÉ MITRE
82,"ESCUELA NORMAL""CNEL- JOSÉ ARMAND""",ESCUELA NORMALCNEL JOSÉ ARMAND
83,"COL- SECUNDARIO ""SAN CAYETANO""",Colegio SECUNDARIO SAN CAYETANO
84,"ESC- Nº 605 ""EJÉRCITO ARGENTINO""",Escuela Nº 605 EJÉRCITO ARGENTINO
85,"ESC- Nº 553 ""SAN CAYETANO""",Escuela Nº 553 SAN CAYETANO
86,"ESC- Nº 65 ""JOSÉ EUSEBIO GÓMEZ""",Escuela Nº 65 JOSÉ EUSEBIO GÓMEZ
87,"ESC- Nº 511 ""PREF- NAVAL ARGENTINA""",Escuela Nº 511 PREF NAVAL ARGENTINA
88,"ESC- Nº 67 ""ISABEL KING""",Escuela Nº 67 ISABEL KING
89,"COL- SEC- ""M- GÜEMES DE TEJADA""",Colegio SEC M GÜEMES DE TEJADA
90,"ESC- Nº 66 ""JOSÉ DE SAN MARTÍN""",Escuela Nº 66 JOSÉ DE SAN MARTÍN
91,"COLEGIO ""DR- JUAN E- TORRENT""",COLEGIO Doctor JUAN E TORRENT
92,"ESC- NORMAL ""M- I- LOZA""",Escuela NORMAL M I LOZA
93,COL- SEC- EN GOYA,Colegio SEC EN GOYA
94,"ESC- Nº 254 ""DR- PEDRO A- DÍAZ COLODRERO""",Escuela Nº 254 Doctor PEDRO A DÍAZ COLODRERO
